%  ' depth(m)'	   'Vp'		'Vs'	   'rho'	'GR'	    'nphi' 
   2148.5840      2.4073      1.0210      2.1988     83.0507       .3893
   2148.7363      2.4468      1.0414      2.1821     88.6071       .3875
   2148.8889      2.6073      1.0707      2.1726     95.0424       .4191
   2149.0413      2.5773      1.0305      2.1473     93.0285       .4170
   2149.1936      2.5962      1.0305      2.1221     91.6440       .4315
   2149.3459      2.6154      1.0785      2.1732     85.8735       .4182
   2149.4983      2.5622       .9661      2.2245     80.1249       .4142
   2149.6509      2.4122       .9430      2.1724     73.6500       .4266
   2149.8032      2.3412       .9442      2.0742     75.2658       .4380
   2149.9556      2.3630       .9428      2.0682     81.7958       .4262
   2150.1079      2.3754       .9318      2.1594     86.3042       .3795
   2150.2605      2.3882       .9488      2.0666     86.5092       .3650
   2150.4128      2.5251      1.0151      1.9526     88.4549       .3890
   2150.5652      2.6227      1.0121      1.9065     89.9410       .4424
   2150.7175      2.6200      1.0108      1.9733     89.9019       .4667
   2150.8701      2.5744       .9587      2.1070     84.5379       .4655
   2151.0225      2.4362       .9110      2.1894     82.7033       .4303
   2151.1748      2.4113       .9041      2.2722     84.9839       .3950
   2151.3271      2.4587       .8996      2.2404     88.4586       .3667
   2151.4795      2.5029       .9447      2.0251     88.2012       .3960
   2151.6321      2.4745       .9461      1.7985     88.6465       .4517
   2151.7844      2.5827      1.0409      1.7478     90.5587       .4894
   2151.9368      2.6107      1.0487      1.8625     91.1286       .4616
   2152.0891      2.6070      1.0757      2.1051     87.3181       .4279
   2152.2417      2.5821      1.0908      2.2434     84.7476       .4105
   2152.3940      2.5292      1.0875      2.2557     81.9004       .3836
   2152.5464      2.4967      1.0803      2.2944     82.5017       .3516
   2152.6987      2.5158      1.0995      2.3069     80.4805       .3195
   2152.8513      2.4781       .9976      2.2513     81.2950       .3368
   2153.0037      2.4397       .9833      2.1916     83.1698       .4086
   2153.1560      2.3752       .9849      2.1700     86.5289       .4147
   2153.3083      2.3688       .9488      2.1985     83.2764       .4125
   2153.4607      2.3638       .9851      2.1707     83.3065       .3677
   2153.6133      2.4429       .9537      2.0849     78.4968       .3988
   2153.7656      2.5107      1.0706      1.9880     82.6460       .4416
   2153.9180      2.6413      1.0757      1.9125     81.9094       .4580
   2154.0703      2.6690      1.1367      1.8845     84.7236       .4809
   2154.2229      2.7732      1.1269      1.9379     79.0358       .4398
   2154.3752      2.7548      1.2099      2.0815     76.6552       .3918
   2154.5276      2.6734      1.2383      2.1954     73.7792       .3329
   2154.6799      2.7101      1.1975      2.2192     79.3874       .3240
   2154.8325      2.7386      1.1975      2.1974     79.9984       .3361
   2154.9849      2.7787      1.1739      2.1644     78.2592       .3366
   2155.1372      2.8010      1.1769      2.1568     72.5216       .3257
   2155.2896      2.7224      1.1720      2.1612     67.9960       .3096
   2155.4419      2.7496      1.0598      2.1615     67.3191       .2832
   2155.5945      2.7608      1.0598      2.1830     70.8472       .2919
   2155.7468      2.7624      1.2333      2.2020     71.2221       .3093
   2155.8992      2.6932      1.3554      2.2078     70.6893       .3204
   2156.0515      2.7328      1.3633      2.1985     64.7836       .3249
   2156.2041      2.7361      1.3629      2.1764     61.6900       .3163
   2156.3564      2.7065      1.2566      2.1610     58.8946       .3202
   2156.5088      2.6951      1.2566      2.1609     56.6084       .3105
   2156.6611      2.6608      1.3273      2.1576     56.1563       .3097
   2156.8137      2.6807      1.3094      2.1552     54.4995       .3132
   2156.9661      2.6279      1.4012      2.1483     55.0432       .3189
   2157.1184      2.6298      1.4000      2.1417     55.7592       .3172
   2157.2708      2.6091      1.4000      2.1336     57.6885       .3246
   2157.4231      2.6233      1.2707      2.1255     56.7729       .3229
   2157.5757      2.5908      1.1969      2.1235     55.7864       .3214
   2157.7280      2.5550      1.1997      2.1132     57.4722       .3202
   2157.8804      2.5316      1.2293      2.1073     59.1026       .3215
   2158.0327      2.4510      1.2293      2.1159     59.5576       .3283
   2158.1853      2.2096      1.0440      2.1162     58.1797       .3287
   2158.3376      2.2001      1.0196      2.1143     57.2458       .3384
   2158.4900      2.2384       .9704      2.1038     56.4344       .3415
   2158.6423      2.3236       .9282      2.1041     56.9917       .3527
   2158.7949      2.4217      1.0767      2.0975     61.9035       .3766
   2158.9473      2.5119      1.0751      2.0833     65.2482       .3949
   2159.0996      2.5805      1.1013      2.0743     65.3476       .4033
   2159.2520      2.5686      1.1440      2.0712     61.5062       .3708
   2159.4043      2.5817      1.1949      2.0693     58.8778       .3410
   2159.5569      2.5928      1.2002      2.0825     58.0440       .3427
   2159.7092      2.6065      1.2199      2.1124     57.6340       .3482
   2159.8616      2.6167      1.2199      2.1577     58.1707       .3537
   2160.0139      2.6318      1.2161      2.1860     59.8114       .3243
   2160.1665      2.6215      1.3182      2.1749     60.4706       .3296
   2160.3188      2.6281      1.3767      2.1418     59.9202       .3343
   2160.4712      2.6071      1.3459      2.1245     53.9578       .3428
   2160.6235      2.5821      1.3014      2.1484     52.5946       .3222
   2160.7759      2.5445      1.3014      2.1936     53.1718       .3138
   2160.9285      2.5125      1.1821      2.1981     55.3625       .3127
   2161.0808      2.5328      1.1789      2.1575     56.8222       .3212
   2161.2332      2.5687      1.1947      2.1104     55.2263       .3315
   2161.3855      2.5682      1.1922      2.0833     56.4080       .3435
   2161.5381      2.5290      1.2242      2.0686     54.8634       .3495
   2161.6904      2.5107      1.2242      2.0670     56.9496       .3488
   2161.8428      2.5379      1.3042      2.0722     55.3731       .3407
   2161.9951      2.5451      1.3384      2.0892     53.1181       .3215
   2162.1477      2.5525      1.3140      2.0993     55.1710       .3068
   2162.3000      2.5357      1.3147      2.1006     55.1103       .3034
   2162.4524      2.5048      1.4178      2.0998     58.9400       .3053
   2162.6047      2.4989      1.4178      2.1059     55.4306       .2990
   2162.7571      2.4740      1.3776      2.1047     57.1276       .2989
   2162.9097      2.4631      1.4178      2.1006     54.8547       .2916
   2163.0620      2.4704      1.3456      2.0940     54.0613       .3105
   2163.2144      2.4325      1.3172      2.0833     51.8862       .3040
   2163.3667      2.4442      1.2298      2.0739     52.2528       .3189
   2163.5193      2.4320      1.0153      2.0655     52.9645       .3187
   2163.6716      2.3825      1.0153      2.0608     54.9188       .3247
   2163.8240      2.3731      1.0153      2.0637     56.9489       .3202
   2163.9763      2.3785       .7353      2.0871     61.3099       .3120
   2164.1289      2.1895       .7353      2.1054     61.2574       .3062
   2164.2812      2.0659       .7353      2.1096     61.6930       .2970
   2164.4336      1.9979      1.0800      2.1006     60.8646       .3070
   2164.5859      1.9894      1.0765      2.0967     63.4378       .3127
   2164.7383      2.0097      1.1285      2.0698     68.4771       .3544
   2164.8909      1.9647      1.0722      2.0125     79.5856       .4137
   2165.0432      2.0330       .9688      1.9693     90.2669       .4838
   2165.1956      2.0267       .9688      1.9632     95.6196       .5204
   2165.3479      2.0232       .8227      1.9979     88.4739       .4675
   2165.5005      2.0475      1.0770      2.0466     83.5905       .4044
   2165.6528      2.0191      1.2142      2.0940     82.1485       .3349
   2165.8052      2.0314      1.1066      2.1131     85.0989       .3550
   2165.9575      2.0348      1.1066      2.0952     87.5733       .3847
   2166.1101      2.0390      1.0679      2.0762     88.0529       .4149
   2166.2625      2.0320      1.0309      2.0639     91.8191       .4333
   2166.4148      2.1172       .9575      2.0671     88.1691       .4409
   2166.5671      2.1722       .9832      2.0675     84.7658       .4457
   2166.7195      2.2675       .9832      2.0648     76.5797       .4196
   2166.8721      2.3330      1.0575      2.0551     72.2960       .4074
   2167.0244      2.4529      1.1458      2.0370     64.0568       .3821
   2167.1768      2.5810      1.2312      2.0368     62.3602       .3544
   2167.3291      2.6196      1.2361      2.0365     61.7136       .3412
   2167.4817      2.6264      1.2425      2.0409     64.6872       .3543
   2167.6340      2.7449      1.2425      2.0483     64.3358       .3505
   2167.7864      2.9330      1.3067      2.0557     63.7912       .3459
   2167.9387      3.4198      1.3511      2.0578     64.5537       .3206
   2168.0913      2.7547      1.3875      2.0704     64.1116       .3155
   2168.2437      2.8010      1.4150      2.0854     63.3280       .3110
   2168.3960      2.8017      1.4228      2.1068     62.1418       .3107
   2168.5483      2.8164      1.4228      2.1168     61.7700       .3295
   2168.7007      2.8467      1.4273      2.1336     63.1566       .3275
   2168.8533      2.7995      1.4296      2.1319     63.3647       .3315
   2169.0056      2.7548      1.4292      2.1378     62.9153       .3108
   2169.1580      2.8205      1.4184      2.1394     62.9637       .3071
   2169.3103      2.8521      1.4184      2.1380     62.9447       .3043
   2169.4629      2.7849      1.4929      2.1322     64.9777       .3002
   2169.6152      2.8127      1.4051      2.1259     63.4439       .3141
   2169.7676      2.7810      1.4614      2.1301     63.6239       .3020
   2169.9199      2.8276      1.4800      2.1286     62.6098       .3078
   2170.0725      2.8841      1.5415      2.1285     62.1296       .3018
   2170.2249      2.8235      1.5415      2.1251     62.9920       .3084
   2170.3772      2.8285      1.5371      2.1342     63.8347       .3069
   2170.5295      2.8124      1.5147      2.1424     65.5070       .3004
   2170.6819      2.7980      1.4938      2.1388     66.3031       .2969
   2170.8345      2.7983      1.4985      2.1319     64.2555       .3012
   2170.9868      2.8358      1.4985      2.1109     64.8984       .3046
   2171.1392      2.8473      1.4751      2.0992     64.2390       .3055
   2171.2915      2.8538      1.5064      2.0936     63.5550       .3017
   2171.4441      2.8674      1.4638      2.1048     63.4770       .3022
   2171.5964      2.8815      1.4580      2.1203     62.2577       .3053
   2171.7488      2.8945      1.4580      2.1272     63.6021       .3078
   2171.9011      2.8877      1.4680      2.1277     62.5136       .3239
   2172.0537      2.8992      1.4529      2.1235     63.2802       .3292
   2172.2061      2.9011      1.4562      2.1227     64.7056       .3352
   2172.3584      2.9148      1.4606      2.1239     63.2805       .3227
   2172.5107      2.9002      1.4110      2.1328     62.7467       .3243
   2172.6631      2.9078      1.4110      2.1474     63.1880       .3133
   2172.8157      2.8862      1.3970      2.1584     66.4631       .3171
   2172.9680      2.8676      1.3633      2.1564     66.9116       .3215
   2173.1204      2.8257      1.3813      2.1454     65.5182       .3241
   2173.2727      2.7958      1.3690      2.1291     66.3918       .3147
   2173.4253      2.7604      1.3690      2.1138     67.9588       .3065
   2173.5776      2.7382      1.3500      2.1065     69.0951       .3170
   2173.7300      2.6920      1.3205      2.1195     67.1090       .3203
   2173.8823      2.8129      1.3056      2.1275     65.6329       .3151
   2174.0349      2.8592      1.3110      2.1310     66.0627       .3060
   2174.1873      2.8777      1.3726      2.1568     70.3503       .3313
   2174.3396      2.8622      1.3726      2.2015     78.5573       .3435
   2174.4919      2.9257      1.3876      2.2492     82.8997       .3620
   2174.6443      2.9075      1.4586      2.2365     79.4636       .3262
   2174.7969      2.9042      1.4672      2.1990     74.0546       .3143
   2174.9492      2.8925      1.5036      2.1646     68.8264       .2932
   2175.1016      2.9013      1.5036      2.1483     72.7529       .3027
   2175.2539      2.9112      1.5147      2.1465     69.2092       .2948
   2175.4065      2.9250      1.5241      2.1483     70.0103       .2886
   2175.5588      2.9252      1.5373      2.1464     66.0531       .2878
   2175.7112      2.9245      1.5346      2.1442     68.3874       .3047
   2175.8635      2.9227      1.5343      2.1280     66.3276       .3092
   2176.0161      2.9293      1.5343      2.1248     66.7133       .3057
   2176.1685      2.9306      1.5356      2.1230     65.2215       .2980
   2176.3208      2.9157      1.5284      2.1291     67.7360       .2975
   2176.4731      2.9150      1.5187      2.1292     65.3053       .2874
   2176.6255      2.9174      1.5145      2.1304     65.1174       .2846
   2176.7781      2.9197      1.5145      2.1353     63.7379       .2932
   2176.9304      2.8954      1.5052      2.1306     65.6683       .3078
   2177.0828      2.9151      1.4505      2.1271     63.3258       .3136
   2177.2351      2.9015      1.4468      2.1214     63.3783       .3115
   2177.3877      2.8984      1.4417      2.1270     64.8638       .3114
   2177.5400      2.9015      1.3920      2.1269     68.6036       .3090
   2177.6924      2.9049      1.3920      2.1296     69.1994       .3042
   2177.8447      2.9164      1.4864      2.1293     67.1835       .3128
   2177.9973      2.9168      1.4524      2.1207     65.5341       .3040
   2178.1497      2.8979      1.3893      2.1233     66.0219       .3129
   2178.3020      2.8883      1.4397      2.1205     66.5783       .3108
   2178.4543      2.8696      1.4397      2.1223     67.1891       .3256
   2178.6067      2.8588      1.3723      2.1211     68.8007       .3229
   2178.7593      2.8589      1.4200      2.1253     68.6194       .3155
   2178.9116      2.8871      1.4266      2.1203     68.7686       .3129
   2179.0640      2.8889      1.3830      2.1232     66.6344       .3124
   2179.2163      2.8784      1.3830      2.1209     69.3769       .3091
   2179.3689      2.8492      1.3824      2.1352     72.9524       .2997
   2179.5212      2.8466      1.4531      2.1667     79.3090       .3140
   2179.6736      2.8461      1.4545      2.2054     79.9195       .3228
   2179.8259      2.7926      1.4636      2.2304     80.3196       .3366
   2179.9785      2.8431      1.4957      2.2237     72.7094       .3161
   2180.1309      2.8698      1.4957      2.1866     68.6416       .2959
   2180.2832      2.8902      1.4954      2.1473     62.7284       .2922
   2180.4355      2.8978      1.5008      2.1212     62.7359       .3079
   2180.5879      2.9332      1.4825      2.1230     62.0896       .3251
   2180.7405      2.8993      1.5225      2.1206     62.0209       .3165
   2180.8928      2.8897      1.4977      2.1180     59.3099       .3004
   2181.0452      2.8790      1.4977      2.1273     60.9045       .2983
   2181.1975      2.8805      1.3995      2.1327     63.5020       .3033
   2181.3501      2.8718      1.4227      2.1383     67.4592       .3100
   2181.5024      2.8694      1.3829      2.1347     69.3054       .2988
   2181.6548      2.8940      1.4022      2.1278     66.6628       .2985
   2181.8071      2.8830      1.4022      2.1255     66.8185       .2997
   2181.9597      2.9213      1.4326      2.1394     65.1434       .3067
   2182.1121      2.9023      1.3733      2.1750     71.6339       .3323
   2182.2644      2.9057      1.4625      2.2147     72.7715       .3430
   2182.4167      2.9152      1.4053      2.2133     72.7737       .3532
   2182.5691      2.8940      1.4053      2.1811     68.2860       .3325
   2182.7217      2.9012      1.5275      2.1503     65.7914       .3334
   2182.8740      2.9157      1.5693      2.1436     62.2000       .3248
   2183.0264      2.9061      1.5124      2.1410     63.3513       .3206
   2183.1787      2.8651      1.5445      2.1525     66.8294       .3056
   2183.3313      2.8755      1.5445      2.1740     74.7242       .3182
   2183.4836      2.9090      1.4554      2.1812     75.0442       .3272
   2183.6360      2.9153      1.4525      2.1587     69.8180       .3286
   2183.7883      2.8960      1.4611      2.1401     64.2003       .3014
   2183.9409      2.9244      1.5936      2.1406     61.7122       .3036
   2184.0933      2.7595      1.5936      2.1430     62.5664       .2948
   2184.2456      2.7185      1.4505      2.1475     63.4999       .3109
   2184.3979      2.7255      1.3445      2.1438     65.3123       .2963
   2184.5503      2.6564      1.2835      2.1495     68.6323       .2952
   2184.7029      2.4892      1.2256      2.1335     68.8848       .2818
   2184.8552      2.4561      1.2256      2.1208     74.4677       .3300
   2185.0076      2.5192      1.1130      2.1003     79.5344       .3619
   2185.1599      2.4990      1.0745      2.1006     83.0246       .3646
   2185.3125      2.5012       .9893      2.0766     77.3263       .3156
   2185.4648      2.5029      1.1188      2.0061     80.9366       .3139
   2185.6172      2.6444      1.1238      1.9683     84.7465       .4072
   2185.7695      2.6801      1.1885      1.9683     91.2090       .4755
   2185.9221      2.6781      1.2071      2.0414     87.5113       .4773
   2186.0745      2.7547      1.2313      2.0862     80.7810       .3894
   2186.2268      2.7579      1.2843      2.1020     71.9886       .3320
   2186.3792      2.8059      1.2843      2.1188     63.1792       .3088
   2186.5315      2.8265      1.3104      2.1338     63.4641       .3029
   2186.6841      2.8229      1.3401      2.1572     66.9263       .2907
   2186.8364      2.8274      1.3338      2.1793     73.8985       .2955
   2186.9888      2.8122      1.2584      2.1843     80.7643       .3184
   2187.1411      2.7696      1.2584      2.1721     86.2562       .3241
   2187.2937      2.7351      1.2490      2.1589     86.9117       .3345
   2187.4460      2.7050      1.2536      2.1752     88.6743       .3402
   2187.5984      2.6827      1.1507      2.2024     90.4893       .3338
   2187.7507      2.7401      1.1891      2.2071     91.9682       .3382
   2187.9033      2.6599      1.1891      2.1869     90.1064       .3498
   2188.0557      2.8194      1.2573      2.1795     86.3953       .3690
   2188.2080      2.8721      1.2627      2.2059     85.2190       .3792
   2188.3604      2.8674      1.3339      2.2087     80.3024       .3570
   2188.5127      2.8782      1.3450      2.1792     77.2125       .3427
   2188.6653      2.8393      1.2656      2.1634     70.6721       .3034
   2188.8176      2.7879      1.2656      2.1561     69.7622       .2914
   2188.9700      2.7759      1.2104      2.1716     68.8362       .2901
   2189.1223      2.7753      1.1989      2.1739     70.3865       .3032
   2189.2749      2.7361      1.1819      2.1712     71.1412       .3408
   2189.4272      2.8639      1.2256      2.1744     70.8976       .3524
   2189.5796      2.9526      1.2274      2.1812     67.3634       .3465
   2189.7319      2.9987      1.2909      2.1902     65.7384       .3178
   2189.8845      2.9714      1.2932      2.1760     63.0495       .3015
   2190.0369      2.9365      1.2861      2.1510     65.8043       .2993
   2190.1892      2.9254      1.3077      2.1465     62.9060       .2989
   2190.3416      2.9381      1.3077      2.1473     62.3838       .3021
   2190.4939      2.9777      1.3014      2.1680     61.9183       .2974
   2190.6465      3.0778      1.2773      2.1938     64.4040       .2857
   2190.7988      2.9169      1.3035      2.2077     65.9605       .2861
   2190.9512      2.8279      1.1781      2.1999     63.4088       .3001
   2191.1035      2.7082      1.1219      2.1946     61.7820       .3037
   2191.2561      2.7052      1.1219      2.2033     63.7809       .3023
   2191.4084      2.7733      1.3766      2.2120     69.0557       .2814
   2191.5608      2.7977      1.4857      2.1536     76.5267       .3376
   2191.7131      2.9155      1.4540      2.1064     81.6428       .3614
   2191.8655      2.9939      1.4100      2.0897     83.8618       .4029
   2192.0181      2.9962      1.4073      2.1633     80.0698       .3524
   2192.1704      2.9662      1.4164      2.1969     75.8648       .3354
   2192.3228      2.9677      1.3974      2.1956     71.3027       .3089
   2192.4751      2.9754      1.3489      2.1625     68.6803       .3094
   2192.6277      2.9979      1.3724      2.1653     66.2310       .3091
   2192.7800      2.9877      1.3724      2.1710     64.6994       .2964
   2192.9324      2.9931      1.3727      2.1771     64.3816       .2823
   2193.0847      2.9840      1.3833      2.1773     63.9527       .2701
   2193.2373      2.9737      1.3897      2.1705     64.1109       .2733
   2193.3896      3.0140      1.4302      2.1722     64.4679       .2990
   2193.5420      3.0255      1.4302      2.1737     64.0330       .3029
   2193.6943      3.0277      1.4343      2.1809     64.0055       .3090
   2193.8467      3.0211      1.3598      2.1877     65.0655       .3009
   2193.9993      2.9675      1.3589      2.2126     71.1393       .3046
   2194.1516      3.0315      1.3182      2.2501     77.2086       .3010
   2194.3040      2.9944      1.3177      2.2829     85.0712       .2936
   2194.4563      2.9594      1.3177      2.2967     87.8163       .2942
   2194.6089      2.9099      1.2835      2.2800     88.3201       .3240
   2194.7612      2.8895      1.2039      2.2592     86.2347       .3498
   2194.9136      2.8440      1.1956      2.2557     85.6671       .3571
   2195.0659      2.8655      1.2192      2.2623     85.8101       .3353
   2195.2185      2.8159      1.2192      2.2652     83.8835       .3245
   2195.3708      2.7892      1.2325      2.2508     82.0922       .3323
   2195.5232      2.8034      1.2357      2.2376     79.8952       .3406
   2195.6755      2.8105      1.2524      2.2228     77.2838       .3502
   2195.8279      2.8152      1.3212      2.2020     71.4346       .3234
   2195.9805      2.8376      1.2879      2.1943     70.0435       .3297
   2196.1328      2.8344      1.2879      2.2058     74.1065       .3286
   2196.2852      2.8516      1.2403      2.2128     76.8219       .3593
   2196.4375      2.8523      1.2172      2.1988     77.4255       .3394
   2196.5901      2.8519      1.1831      2.1806     72.8416       .3169
   2196.7424      2.8140      1.2083      2.1609     71.8723       .3058
   2196.8948      2.7743      1.2083      2.1569     71.8849       .3093
   2197.0471      2.7880      1.2004      2.1441     72.9305       .3167
   2197.1997      2.7571      1.1502      2.1286     73.0873       .3140
   2197.3521      2.6802      1.1100      2.1250     76.0322       .3123
   2197.5044      2.6628      1.1036      2.1401     79.0299       .2988
   2197.6567      2.6582      1.1036      2.1498     83.3926       .3328
   2197.8091      2.6454      1.1153      2.1533     82.3847       .3409
   2197.9617      2.6236      1.1060      2.1817     83.3660       .3675
   2198.1140      2.6366      1.0929      2.2029     84.1841       .3325
   2198.2664      2.7432      1.0986      2.2290     87.1518       .3209
   2198.4187      2.7276      1.1916      2.1771     89.9690       .3585
   2198.5713      2.9335      1.1932      2.1436     91.5250       .3787
   2198.7236      2.9243      1.2202      2.1249     92.1798       .3902
   2198.8760      2.9049      1.2210      2.1783     89.7037       .3392
   2199.0283      2.8956      1.3062      2.2031     86.7917       .3222
   2199.1809      2.8619      1.2177      2.2295     84.1397       .3254
   2199.3333      2.7912      1.2177      2.2218     76.8630       .3299
   2199.4856      2.7026      1.1953      2.2164     76.9019       .3302
   2199.6379      2.7007      1.2317      2.2067     80.4761       .3099
   2199.7903      2.6407      1.1715      2.1888     88.6049       .3343
   2199.9429      2.6045      1.0888      2.1522     90.8090       .3647
   2200.0952      2.6277      1.0888      2.1308     91.4836       .3717
   2200.2476      2.5902      1.0925      2.1249     87.7628       .3441
   2200.3999      2.4550       .9679      2.0608     88.2425       .3259
   2200.5525      2.4423       .9455      1.9965     85.9252       .3535
   2200.7048      2.4677       .9054      1.9829     86.0391       .3631
   2200.8572      2.4855       .8762      1.9021     87.1227       .3620
   2201.0095      2.5304       .8750      1.8507     88.6772       .3312
   2201.1621      2.4791       .9229      1.8205     92.1077       .3719
   2201.3145      2.5143       .9548      1.8959     89.6550       .4135
   2201.4668      2.5397       .9941      1.9514     86.5820       .4527
   2201.6191      2.5090      1.0117      2.0049     85.1313       .4523
   2201.7715      2.6012      1.0117      2.0971     85.1532       .4452
   2201.9241      2.6027      1.0203      2.1504     86.1138       .4322
   2202.0764      2.5700       .9889      2.1106     86.0577       .4520
   2202.2288      2.6008       .9718      2.0861     87.5601       .4645
   2202.3811      2.6606       .9689      2.1074     87.0605       .4521
   2202.5337      2.6771       .9689      2.1752     84.1063       .3992
   2202.6860      2.5981       .9667      2.1131     82.6176       .4212
   2202.8384      2.5761      1.0175      2.0301     82.9660       .4661
   2202.9907      2.5481       .9747      1.9740     82.8430       .4838
   2203.1433      2.5261       .9768      2.0384     80.7453       .4251
   2203.2957      2.4870       .9458      2.0232     79.5388       .3592
   2203.4480      2.4533       .9487      2.0279     80.2004       .3609
   2203.6003      2.4125       .8591      1.9735     79.2691       .4158
   2203.7527      2.5201       .8807      2.0114     81.2517       .4678
   2203.9053      2.5242       .9099      2.0201     83.1126       .4799
   2204.0576      2.5628      1.1331      2.0413     87.9386       .4466
   2204.2100      2.6071      1.1315      2.0078     88.7090       .4410
   2204.3623      2.7075      1.1810      1.9810     86.2576       .4576
   2204.5149      2.7398      1.1104      1.9492     85.4005       .4734
   2204.6672      2.6744      1.1160      1.9974     83.6873       .4563
   2204.8196      2.6719      1.1394      2.0936     83.8037       .4019
   2204.9719      2.6193      1.1360      2.1807     78.6479       .3473
   2205.1245      2.5691      1.0613      2.2237     73.7260       .3153
   2205.2769      2.5396       .9873      2.2031     72.6868       .3235
   2205.4292      2.5513       .9444      2.2032     73.6097       .3299
   2205.5815      2.5814       .9672      2.2116     76.9844       .3329
   2205.7339      2.6075      1.0177      2.2100     80.2213       .2994
   2205.8865      2.6418      1.0177      2.1522     83.0191       .3378
   2206.0388      2.6987      1.0409      2.1121     86.0743       .4120
   2206.1912      2.6931      1.0791      2.0964     88.2782       .4631
   2206.3435      2.7459      1.1140      2.1319     88.9763       .4606
   2206.4961      2.7040      1.1537      2.1739     90.0553       .4120
   2206.6484      2.7043      1.1537      2.2025     86.6965       .3855
   2206.8008      2.7265      1.1482      2.2416     86.0796       .3553
   2206.9531      2.7522      1.1539      2.2557     81.6418       .3268
   2207.1057      2.8507      1.1877      2.2395     80.1599       .3361
   2207.2581      2.8471      1.2357      2.2103     77.1583       .3360
   2207.4104      2.8815      1.2357      2.1901     74.2117       .3450
   2207.5627      2.9463      1.1016      2.1522     72.0085       .3259
   2207.7151      2.8836      1.1048      2.1262     69.6822       .3287
   2207.8677      2.8141      1.1078      2.1245     68.2459       .3227
   2208.0200      2.7770      1.1025      2.1410     66.2983       .3230
   2208.1724      2.7347      1.1025      2.1471     64.9621       .3184
   2208.3247      2.6114      1.0634      2.1444     65.0500       .3114
   2208.4773      2.6170      1.0463      2.1557     68.2974       .3011
   2208.6296      2.6078      1.0623      2.1375     73.6434       .3132
   2208.7820      2.5384      1.0255      2.1107     80.9224       .3471
   2208.9343      2.4881      1.0255      2.0476     84.7999       .3856
   2209.0869      2.5463       .9863      2.0393     84.3051       .4115
   2209.2393      2.5946      1.0268      2.0953     82.8335       .4070
   2209.3916      2.6184      1.0268      2.2005     82.2368       .4113
   2209.5439      2.6634      1.1376      2.2545     84.6807       .4338
   2209.6963      2.7183      1.1376      2.2080     83.8227       .4807
   2209.8489      3.0155      1.0741      2.1765     84.8898       .4877
   2210.0012      3.0797      1.1206      2.2159     82.6891       .4565
   2210.1536      3.0469      1.1679      2.2609     80.9235       .3867
   2210.3059      3.1074      1.1679      2.2787     75.9853       .3517
   2210.4585      3.1284      1.1894      2.2466     72.4269       .3329
   2210.6108      3.1427      1.2246      2.2188     70.7419       .3267
   2210.7632      3.2502      1.3081      2.2026     70.0238       .3105
   2210.9155      3.2375      1.2535      2.1941     68.6897       .3010
   2211.0681      3.1924      1.2535      2.1926     68.6892       .3058
   2211.2205      2.7959      1.1984      2.1957     67.3180       .3123
   2211.3728      2.8052      1.1397      2.2045     67.2613       .3141
   2211.5251      2.7285      1.0958      2.2325     69.2893       .3133
   2211.6775      2.6918      1.0293      2.2545     76.8221       .3432
   2211.8301      2.7595      1.0327      2.2641     83.4451       .3349
   2211.9824      2.7550      1.0284      2.2443     85.5089       .3631
   2212.1348      2.7276       .9633      2.2049     85.4924       .3315
   2212.2871      2.7286       .9746      2.1629     83.6666       .3884
   2212.4397      2.6969      1.0227      2.1560     83.3945       .4135
   2212.5920      2.7485      1.0755      2.1831     83.7203       .4354
   2212.7444      2.7511      1.0739      2.2124     87.0352       .3946
   2212.8967      2.7709      1.0762      2.2473     92.2999       .3751
   2213.0493      2.7794      1.1426      2.2401     93.4301       .3675
   2213.2017      2.8125      1.2174      2.2509     88.2176       .3629
   2213.3540      2.7818      1.1384      2.2621     80.1478       .3456
   2213.5063      2.7962      1.1384      2.2570     73.7730       .3405
   2213.6587      2.8085      1.1426      2.2355     74.1557       .3314
   2213.8113      2.7702      1.1545      2.2314     75.2870       .3297
   2213.9636      2.6241      1.1146      2.2615     79.7589       .3318
   2214.1160      2.6388      1.0635      2.2809     81.9511       .3394
   2214.2683      2.6374      1.0618      2.2694     80.5720       .3271
   2214.4209      2.6237      1.0694      2.2282     78.7049       .3158
   2214.5732      2.6421      1.1096      2.1953     78.2100       .3474
   2214.7256      2.7734      1.0827      2.1858     82.4856       .3650
   2214.8779      2.8168      1.1661      2.1977     82.5475       .3677
   2215.0305      2.8460      1.1644      2.2276     78.6710       .3335
   2215.1829      2.9192      1.1282      2.2161     74.0263       .3176
   2215.3352      2.9350      1.0878      2.1878     70.1944       .3202
   2215.4875      2.9536      1.1561      2.1848     70.2845       .3092
   2215.6399      2.9941      1.1894      2.1764     71.4353       .3379
   2215.7925      3.0460      1.1911      2.1737     73.3002       .3451
   2215.9448      3.0924      1.2907      2.1712     74.4994       .3696
   2216.0972      3.0200      1.1806      2.1869     72.2939       .3519
   2216.2495      2.9799      1.1500      2.2162     69.3945       .3509
   2216.4021      2.9490      1.2345      2.2391     70.5438       .3170
   2216.5544      2.7629      1.2345      2.2654     70.1802       .2961
   2216.7068      2.7188      1.1922      2.2523     69.8807       .2704
   2216.8591      2.7261      1.2204      2.2279     68.4018       .2849
   2217.0117      2.8246      1.1911      2.2025     72.1132       .3089
   2217.1641      2.8204      1.1497      2.1983     78.1729       .3350
   2217.3164      2.7961      1.1497      2.2214     81.2506       .3470
