%  ' depth(m)'	   'Vp'		'Vs'	   'rho'	'GR'	    'nphi' 
   2026.5116      2.4613       .9677      2.3192     98.1840       .4517
   2026.6639      2.4493       .8708      2.3059    103.7155       .4804
   2026.8164      2.4470       .8371      2.3209    102.4576       .4814
   2026.9688      2.5370       .8686      2.3132    110.3250       .4760
   2027.1212      2.3134       .8655      2.2755    118.7041       .4838
   2027.2736      2.3192       .8906      2.2602    124.5564       .4857
   2027.4260      2.3332       .8932      2.2750    121.2672       .4741
   2027.5784      2.3413       .9001      2.2299    113.4783       .4561
   2027.7308      2.3641       .8670      2.1568    106.1214       .4713
   2027.8832      2.4075       .9070      2.0949     99.3157       .4649
   2028.0356      2.5081       .9103      2.0870    104.8640       .4614
   2028.1880      2.5516       .9530      2.1224    107.9111       .4603
   2028.3405      2.5358       .9795      2.1896    108.1310       .4594
   2028.4928      2.4645       .8686      2.2880    104.6245       .4626
   2028.6451      2.2498       .9011      2.3327    100.1349       .4198
   2028.7976      2.2478       .9024      2.3269     97.3308       .3922
   2028.9500      2.2638       .8180      2.2728     97.1191       .4079
   2029.1024      2.2447       .7591      2.2334    101.0155       .4788
   2029.2548      2.2540       .7747      2.2149    104.4540       .5040
   2029.4072      2.2668       .7623      2.2330    104.3137       .5015
   2029.5596      2.2783       .7751      2.1829    100.9013       .4636
   2029.7120      2.2598       .7751      2.0938     94.9703       .4522
   2029.8644      2.2405       .8349      2.0488     88.5362       .4561
   2030.0168      2.2343       .7933      2.0773     89.0158       .4897
   2030.1692      2.2663       .7773      2.0981     96.3309       .4884
   2030.3217      2.2751       .7660      2.1324    101.3536       .4891
   2030.4740      2.2551       .7637      2.1573    101.4960       .4633
   2030.6263      2.2262       .8131      2.1919     96.2144       .4668
   2030.7788      2.1851       .7967      2.1765     91.1571       .4565
   2030.9312      2.1830       .7812      2.1413     91.6360       .4528
   2031.0836      2.1753       .7859      2.0827     95.7548       .4225
   2031.2360      2.1508       .7941      2.0076     98.5973       .4094
   2031.3884      2.1753       .7909      1.9901     99.7667       .4349
   2031.5408      2.1853       .7852      2.0052     98.6916       .4841
   2031.6932      2.1980       .7949      2.0329     98.4323       .4889
   2031.8456      2.2165       .7995      2.0539     93.4254       .4668
   2031.9980      2.1972       .7750      2.0588     91.0594       .4655
   2032.1504      2.2081       .7773      2.0594     85.7454       .4665
   2032.3029      2.2039       .7495      2.0512     87.5868       .4928
   2032.4552      2.2051       .7508      2.0610     85.8260       .4838
   2032.6075      2.2021       .8287      2.0649     88.1296       .4775
   2032.7600      2.2055       .7779      2.1186     86.9401       .4646
   2032.9124      2.2090       .7767      2.1662     90.1420       .4745
   2033.0648      2.2076       .7767      2.1944     88.5505       .4831
   2033.2172      2.2200       .7945      2.1882     88.5862       .5167
   2033.3696      2.2152       .7911      2.1720     85.8964       .5255
   2033.5220      2.2262       .7714      2.1781     89.3399       .5163
   2033.6744      2.2284       .7589      2.1958     89.5774       .5054
   2033.8268      2.2185       .7589      2.2130     89.8482       .4745
   2033.9792      2.1878       .7972      2.2033     88.1329       .5005
   2034.1316      2.1689       .7758      2.1902     88.1273       .4908
   2034.2841      2.1923       .8048      2.1811     87.1913       .5001
   2034.4364      2.2009       .8119      2.1732     86.1669       .4658
   2034.5887      2.2104       .8213      2.1123     83.7294       .4781
   2034.7412      2.2234       .8178      2.0747     83.3407       .5069
   2034.8936      2.2382       .8368      2.0681     83.9865       .5164
   2035.0460      2.2349       .8427      2.1368     84.2211       .5038
   2035.1984      2.2434       .8424      2.1766     80.2252       .4937
   2035.3508      2.2246       .8181      2.1756     78.9220       .4989
   2035.5032      2.2263       .8181      2.1729     76.8496       .4921
   2035.6556      2.2497       .8280      2.1857     79.9016       .4758
   2035.8080      2.2863       .8434      2.1898     81.7194       .4630
   2035.9604      2.2816       .8464      2.1888     83.5687       .4532
   2036.1128      2.2838       .8537      2.1727     86.6119       .4748
   2036.2653      2.2830       .8466      2.1960     89.6156       .4844
   2036.4176      2.2497       .8466      2.2008     87.7887       .5045
   2036.5699      2.2219       .8422      2.1916     87.2447       .4768
   2036.7224      2.2217       .8363      2.2145     84.2481       .4597
   2036.8748      2.2236       .8396      2.1915     85.7732       .4672
   2037.0272      2.2344       .8407      2.1573     86.0448       .4676
   2037.1796      2.2494       .8418      2.1555     85.1664       .4703
   2037.3320      2.2681       .8658      2.1916     89.2080       .4708
   2037.4844      2.2590       .8287      2.2338     89.8444       .4820
   2037.6368      2.2589       .8582      2.2220     90.7500       .4733
   2037.7892      2.2644       .8690      2.2302     86.7141       .4715
   2037.9417      2.2639       .9035      2.2251     86.1634       .4969
   2038.0940      2.2612       .9035      2.2341     86.2448       .4993
   2038.2465      2.2512       .8974      2.2190     87.1528       .4706
   2038.3988      2.2606       .8765      2.2232     87.0657       .4360
   2038.5511      2.2666       .8595      2.2393     87.2144       .4323
   2038.7036      2.2759       .9108      2.2437     86.3498       .4479
   2038.8560      2.2935       .9121      2.2388     82.3451       .4492
   2039.0084      2.3145       .9137      2.2236     81.6929       .4680
   2039.1608      2.3001       .9080      2.2292     80.5040       .4535
   2039.3132      2.3009       .9351      2.2506     83.8418       .4509
   2039.4656      2.3184       .9614      2.2646     85.0785       .4583
   2039.6180      2.3338       .9686      2.2618     87.9488       .4779
   2039.7704      2.3437       .9686      2.2585     90.6691       .4715
   2039.9229      2.3395       .9715      2.2570     90.3369       .4441
   2040.0752      2.3163       .9795      2.2565     87.5366       .4370
   2040.2275      2.2870       .9116      2.2714     83.5209       .4427
   2040.3800      2.2756       .9135      2.2717     79.5219       .4624
   2040.5323      2.2761       .9135      2.2718     80.0584       .4546
   2040.6848      2.2818       .9199      2.2657     81.9903       .4649
   2040.8372      2.2888       .9310      2.2592     87.3532       .4700
   2040.9896      2.3139       .9390      2.2563     87.4976       .4819
   2041.1420      2.3139       .9494      2.2514     89.8811       .4728
   2041.2944      2.3181       .9494      2.2560     92.2942       .4636
   2041.4468      2.3054       .9480      2.2562     96.7292       .4617
   2041.5992      2.2859       .9296      2.2465     93.4186       .4626
   2041.7516      2.2817       .9134      2.2451     87.8551       .4318
   2041.9041      2.2649       .9036      2.2396     83.0127       .4338
   2042.0564      2.2139       .8823      2.2442     83.7518       .4321
   2042.2087      2.2299       .8823      2.2463     83.8395       .4714
   2042.3612      2.2578       .9372      2.2698     84.6964       .4561
   2042.5135      2.2818       .9728      2.2703     81.8486       .4647
   2042.6660      2.3269       .9503      2.1961     81.6569       .4494
   2042.8184      2.3666       .9829      2.1557     78.5240       .4884
   2042.9708      2.3890       .9829      2.1599     80.5329       .4645
   2043.1232      2.3844       .9879      2.2208     83.5572       .4540
   2043.2756      2.3832      1.0140      2.2452     85.6810       .4267
   2043.4280      2.3707      1.0126      2.2494     84.6171       .4408
   2043.5804      2.3661      1.0100      2.2558     79.9291       .4469
   2043.7328      2.3415      1.0100      2.2623     79.8396       .4294
   2043.8853      2.3329       .9844      2.2585     80.1735       .4361
   2044.0376      2.3341       .9541      2.2444     80.8294       .4485
   2044.1899      2.3497       .9564      2.2232     81.6113       .4698
   2044.3424      2.3540       .9636      2.2213     81.8469       .4681
   2044.4948      2.3525       .9636      2.2104     83.3184       .4623
   2044.6472      2.3856       .9727      2.2153     84.1662       .4419
   2044.7996      2.3820       .9872      2.2256     85.6327       .4466
   2044.9520      2.3509       .9564      2.2346     86.2872       .4557
   2045.1044      2.3487       .9352      2.2248     86.6093       .4833
   2045.2568      2.3241       .9352      2.2188     83.8060       .4946
   2045.4092      2.2961       .9431      2.2352     79.6237       .4608
   2045.5616      2.3152       .9139      2.2038     77.1005       .4386
   2045.7140      2.3347       .9239      2.1190     75.9458       .4542
   2045.8665      2.3542       .9253      2.0691     76.3971       .4593
   2046.0188      2.3881       .9482      2.1067     74.1555       .4846
   2046.1711      2.3928       .9823      2.1742     73.3321       .4334
   2046.3236      2.4844      1.0164      2.2232     74.8535       .4335
   2046.4760      2.4963      1.0093      2.2517     78.5354       .4210
   2046.6284      2.4917      1.0093      2.2623     84.6433       .4420
   2046.7808      2.4700      1.0212      2.2801     87.9220       .4271
   2046.9332      2.5093      1.0296      2.2957     90.7744       .4478
   2047.0856      2.4926      1.0195      2.3473     83.3958       .4064
   2047.2380      2.4301      1.0256      2.3981     73.6203       .4165
   2047.3904      2.4529      1.0256      2.3660     65.8692       .4058
   2047.5428      2.4595      1.0870      2.3062     70.6730       .4406
   2047.6952      2.4843      1.1031      2.2595     77.5891       .4602
   2047.8477      2.5226      1.1280      2.2596     83.0183       .4398
   2048.0000      2.5302      1.1381      2.2724     79.9803       .4183
   2048.1523      2.5352      1.1381      2.3001     77.0810       .4082
   2048.3047      2.4733      1.0899      2.3276     72.0264       .4232
   2048.4573      2.4520      1.0819      2.3255     68.9256       .4364
   2048.6096      2.4059      1.0836      2.3240     69.4508       .4614
   2048.7620      2.4344      1.0796      2.3315     68.1078       .4582
   2048.9143      2.4048      1.0796      2.3266     70.8774       .4690
   2049.0669      2.4157      1.1667      2.3021     71.4272       .4339
   2049.2192      2.4140      1.0278      2.2888     75.6682       .4256
   2049.3716      2.4246      1.0853      2.2857     76.4747       .4295
   2049.5239      2.4487      1.0899      2.2977     77.9354       .4388
   2049.6765      2.4655      1.0899      2.3073     73.3957       .4254
   2049.8289      2.4563      1.0964      2.3238     67.2483       .4165
   2049.9812      2.4369      1.1000      2.3025     66.4193       .4198
   2050.1335      2.4770      1.2361      2.2886     68.5051       .4355
   2050.2859      2.4692      1.2232      2.2711     75.2451       .4563
   2050.4385      2.4700      1.2232      2.2683     74.7995       .4587
   2050.5908      2.4660      1.2187      2.2564     73.9942       .4541
   2050.7432      2.4636      1.1623      2.2545     71.0755       .4181
   2050.8955      2.3953       .9847      2.2566     65.5476       .4024
   2051.0481      2.3518       .9926      2.2461     62.2156       .3867
   2051.2004      2.3363       .9926      2.2293     58.2216       .3952
   2051.3528      2.3354      1.0269      2.2110     58.5856       .4122
   2051.5051      2.3012      1.0194      2.1866     61.7709       .4282
   2051.6577      2.3294      1.0240      2.1764     64.3783       .4329
   2051.8101      2.3334      1.0240      2.1711     67.4004       .4297
   2051.9624      2.3687      1.0371      2.1892     66.0868       .4521
   2052.1147      2.4445      1.1126      2.2086     66.3780       .4866
   2052.2671      2.5494      1.2390      2.2259     63.4767       .4820
   2052.4197      2.5762      1.1432      2.2287     63.7948       .4836
   2052.5720      2.6310      1.1806      2.2419     61.1771       .4635
   2052.7244      2.6602      1.1806      2.2646     62.7355       .4628
   2052.8767      2.6684      1.1498      2.3042     61.7134       .4377
   2053.0293      2.6871      1.1358      2.2953     62.9540       .4311
   2053.1816      2.6515      1.2027      2.2563     60.9650       .4410
   2053.3340      2.6362      1.2027      2.2571     61.6815       .4318
   2053.4863      2.5910      1.2386      2.3059     61.8881       .4163
   2053.6389      2.5431      1.2342      2.3547     65.3600       .4103
   2053.7913      2.5383      1.2426      2.3541     68.6127       .4155
   2053.9436      2.5097      1.2384      2.3446     73.0016       .4144
   2054.0959      2.5181      1.2384      2.3294     74.7557       .3941
   2054.2483      2.5776      1.2325      2.3176     75.5746       .4082
   2054.4009      2.6628      1.2354      2.3119     76.6997       .4294
   2054.5532      2.7478      1.2531      2.3174     75.9004       .4409
   2054.7056      2.9939      1.2673      2.3252     77.5227       .4351
   2054.8579      3.0187      1.2673      2.3362     79.9149       .4206
   2055.0105      3.0319      1.2933      2.3526     76.4767       .4161
   2055.1628      2.9418      1.3120      2.3764     68.6372       .4063
   2055.3152      2.8305      1.2594      2.4093     56.7861       .3842
   2055.4675      2.7655      1.1959      2.4586     59.1575       .3406
   2055.6201      2.6741      1.1959      2.4993     59.4014       .2875
   2055.7725      2.5113      1.1372      2.5104     65.2594       .2935
   2055.9248      2.4825      1.1193      2.4890     67.5753       .3461
   2056.0771      2.4665      1.1098      2.4113     76.7633       .4096
   2056.2295      2.4881      1.1313      2.3439     83.1393       .4290
   2056.3821      2.5207      1.1313      2.2987     86.5074       .4414
   2056.5344      2.5113      1.1597      2.3063     84.3615       .4567
   2056.6868      2.4902      1.1579      2.3187     80.8991       .4510
   2056.8391      2.4859      1.1535      2.3230     72.8765       .4375
   2056.9917      2.4854      1.1489      2.3372     68.4166       .4145
   2057.1440      2.4801      1.1489      2.3583     66.3572       .3953
   2057.2964      2.4499      1.1601      2.3442     70.5055       .3826
   2057.4487      2.4779      1.1444      2.3227     74.3303       .3886
   2057.6013      2.5107      1.1416      2.2976     74.8266       .4217
   2057.7537      2.5308      1.1548      2.2988     73.2161       .4200
   2057.9060      2.5565      1.1548      2.2856     69.5489       .4281
   2058.0583      2.5549      1.1806      2.2875     64.9512       .4208
   2058.2107      2.5744      1.1806      2.2851     63.0504       .4278
   2058.3633      2.5805      1.1780      2.3019     61.8778       .4116
   2058.5156      2.5453      1.1685      2.2990     63.5740       .3947
   2058.6680      2.5359      1.1685      2.2887     66.1560       .3978
   2058.8203      2.5525      1.1785      2.2768     68.3570       .4025
   2058.9729      2.5716      1.1661      2.2764     68.3363       .4251
   2059.1252      2.6362      1.2036      2.2802     67.0339       .4428
   2059.2776      2.6393      1.2290      2.2904     61.0436       .4628
   2059.4299      2.6829      1.2290      2.3068     59.4526       .4538
   2059.5825      2.6389      1.2122      2.3218     57.1255       .4383
   2059.7349      2.6409      1.2378      2.3378     59.3249       .4152
   2059.8872      2.5742      1.2281      2.3351     60.5127       .4053
   2060.0396      2.5326      1.2148      2.3361     61.1071       .3981
   2060.1919      2.5488      1.2148      2.3155     62.2820       .4057
   2060.3445      2.5678      1.1974      2.3044     60.7011       .4122
   2060.4968      2.5823      1.2100      2.3156     57.9928       .4285
   2060.6492      2.6436      1.2314      2.3297     55.9480       .4549
   2060.8015      2.6641      1.2290      2.3364     54.5217       .4593
   2060.9541      2.6915      1.2290      2.3486     59.9638       .4611
   2061.1064      2.7938      1.2574      2.3532     61.8195       .4320
   2061.2588      2.8399      1.2428      2.3549     63.9944       .4191
   2061.4111      2.8333      1.2501      2.3498     62.6861       .4072
   2061.5637      2.8973      1.2534      2.3382     64.3949       .4169
   2061.7161      2.8889      1.2534      2.3333     66.0640       .4156
   2061.8684      2.5629      1.2401      2.3476     61.4385       .3963
   2062.0208      2.5882      1.2559      2.3798     58.6387       .3685
   2062.1731      2.5532      1.2259      2.3560     56.7215       .3733
   2062.3257      2.5438      1.2485      2.3247     60.4989       .3906
   2062.4780      2.5750      1.2485      2.3073     64.9796       .4118
