LFC,IP,VPVS
4.0,5369.367513600012,2.5101265822784806
4.0,5391.307050400008,2.5311339768749344
4.0,5405.041589999926,2.527006990044482
4.0,5456.358298500035,2.420440760210271
4.0,5422.913840000017,2.4105691056910565
4.0,5400.23014440002,2.400609756097561
4.0,5372.2284800000625,2.4057084607543318
4.0,5368.272825000001,2.4341133004926103
4.0,5373.12490200003,2.433377645976071
4.0,5385.391,2.3683062276874254
4.0,5439.829183199992,2.39319714399048
4.0,5494.490142499979,2.396828523589087
4.0,5503.241396250004,2.443941679235797
4.0,5480.777307600045,2.4473817482021683
4.0,5479.44108799999,2.3787533445644637
4.0,5449.791133200008,2.413404988846076
4.0,5396.0142862500015,2.400628675725005
4.0,5309.239810100013,2.383943976453872
4.0,5251.521024000018,2.3884935962594027
4.0,5233.2354756,2.388488478327073
4.0,5263.7826543500405,2.5315083199141166
4.0,5323.826314799947,2.5391304347826087
4.0,5385.040479199969,2.411135993485342
4.0,5388.552927999911,2.4322434711083702
4.0,5327.090402999996,2.420030816640986
4.0,5284.388533600032,2.4000816493161867
4.0,5293.539384299971,2.444767743946794
4.0,5324.869536000014,2.439987529876338
4.0,5340.885114599994,2.4384559359067737
4.0,5320.850739099939,2.456182598680768
4.0,5306.328129600004,2.466562009419152
4.0,5304.405187999993,2.4489753674187544
4.0,5323.416610399989,2.463982612295591
4.0,5326.596673099995,2.4695526097763048
4.0,5313.672429999887,2.47304329725229
4.0,5277.952525799991,2.4727905505167684
4.0,5252.023411199995,2.477732793522267
4.0,5185.970577999944,2.4628169614319195
4.0,5108.080971200003,2.490549641538128
4.0,5091.196992,2.5350049927881946
4.0,5109.986495999944,2.555468837105586
4.0,5106.882474750039,2.5716677829872743
4.0,5107.15104650003,2.6006063328093423
4.0,5105.490072600024,2.602852009880979
4.0,5137.288473599969,2.5948391420911534
4.0,5164.6610727999705,2.5806308307418924
4.0,5199.1944798000795,2.5785032200755054
4.0,5255.710368350001,2.54745243822436
4.0,5271.397975999968,2.555652744369123
4.0,5253.1635431999985,2.535644637053087
4.0,5238.010354500009,2.4861613796040025
4.0,5244.1751938500065,2.5576838879159367
4.0,5229.660318800045,2.514028815946268
4.0,5227.161757999993,2.5302681992337166
4.0,5216.973331500009,2.5264367816091955
4.0,5194.116958049997,2.521611001964636
4.0,5161.454003500009,2.534702394025917
4.0,5135.3931,2.526483167013927
4.0,5116.785959999998,2.5545160931061366
4.0,5110.758403200022,2.547833834502729
4.0,5091.441074550002,2.5543636160464853
4.0,5091.175776000039,2.554463188470562
4.0,5087.039302800001,2.5985028921401843
4.0,5120.31324200001,2.5919469126082557
4.0,5136.129677249978,2.591522374634585
4.0,5153.564875399997,2.593433775579042
4.0,5160.371017199999,2.6120348376880442
4.0,5135.137115500061,2.628698731863361
4.0,5078.03879475002,2.624264790681582
4.0,5084.9395725000295,2.6261282110622544
4.0,5112.977119999986,2.630178199490859
4.0,5159.56048480001,2.6084179308771525
4.0,5161.915835499997,2.59689130928069
4.0,5182.3673163,2.6854509392136268
4.0,5215.9870912000015,2.6667433567238006
4.0,5219.549293600006,2.6744507074657773
4.0,5278.515283800007,2.658616780045352
4.0,5325.017743800002,2.5985273106934823
4.0,5339.343754800002,2.544450402144772
4.0,5368.444857600034,2.53097721950181
4.0,5403.472804799916,2.5194667795175625
4.0,5462.251449600006,2.5323741007194247
4.0,5450.75910719998,2.526382573754891
4.0,5454.9817699999985,2.515186669479013
4.0,5473.835433599989,2.5187289562289563
4.0,5480.769241049975,2.439686737184703
4.0,5467.114662900007,2.440093572009764
4.0,5455.278897600001,2.4318112478389096
4.0,5445.237720000009,2.430711228856735
4.0,5471.585750500002,2.4474060457516345
4.0,5430.544191000015,2.4261108846310644
4.0,5471.494649400009,2.461151596017653
4.0,5524.906219199997,2.4820897054295386
4.0,5514.651156899998,2.4747536945812807
4.0,5524.022281499998,2.4732215862632865
4.0,5525.046368249998,2.4458232445520585
4.0,5522.618102399998,2.4122972838523524
4.0,5537.874042000001,2.4154747715534373
4.0,5539.713956999986,2.4377639251960592
4.0,5560.849105000079,2.3955946266297907
4.0,5608.972467199991,2.3736477926128057
4.0,5650.153415200002,2.349659733537813
4.0,5653.549180500003,2.338289962825279
4.0,5657.625168000026,2.3395291201982653
4.0,5644.010830499998,2.345160673297628
4.0,5642.545817600011,2.381257898318266
4.0,5651.8624702000025,2.3704705768673304
4.0,5653.165975000071,2.375785100009664
4.0,5606.436600599973,2.3023015500234854
4.0,5596.110045600012,2.3886781441494023
4.0,5640.544214399914,2.41435275713727
4.0,5679.085388200032,2.3863019014357785
4.0,5696.628382249992,2.3726232052774545
4.0,5618.385052000039,2.3672851562500004
4.0,5519.79332959999,2.34835068599786
4.0,5474.873526299983,2.317734465457352
4.0,5512.48065925001,2.2656705196879985
4.0,5528.947855649997,2.2620450930863507
4.0,5559.421531999998,2.2811301337823933
4.0,5619.042081250002,2.2706316274781004
4.0,5622.922601999987,2.22397903867004
4.0,5643.8095209999865,2.2480379631319583
4.0,5665.544899199976,2.311867266591676
4.0,5643.5483160000085,2.3094300712410947
4.0,5667.171846199971,2.1665500961706594
4.0,5679.51218680001,2.066550203809999
4.0,5743.029,2.189139559286464
4.0,5720.898702000012,2.219668626402993
4.0,5672.322699999999,2.197844290040976
4.0,5641.769925250002,2.140441112370325
4.0,5620.909002100086,2.1224472135687087
4.0,5638.5974399999795,2.155584528465885
4.0,5695.4931999999435,2.129462401890456
4.0,5767.751814000002,2.15815680648156
4.0,5964.087220000024,2.0953708867819296
4.0,6017.393836800027,2.096135496183206
4.0,6004.221724799998,2.1489274602914685
4.0,5925.714937500007,2.1648452490197707
4.0,5830.361404650017,2.13406190039209
4.0,5794.14239279997,2.208477808599168
4.0,5798.647064800001,2.213819510921591
4.0,5735.997082499972,2.135951149181579
4.0,5634.493554099991,2.022912589693412
4.0,5497.843441699945,1.9751304631441613
4.0,5468.0557059999655,2.1499058042522647
4.0,5459.98997759997,2.3218046565549217
4.0,5414.218198449997,2.32738791423002
4.0,5494.774891499985,2.3797132757266297
4.0,5545.5846039999915,2.400923016496465
4.0,5700.151403999966,2.349268841394826
4.0,5726.02150260001,2.3208071084783413
4.0,5730.4584,2.302421954139424
4.0,5703.951865199996,2.295159059474412
4.0,5720.299265999996,2.3057965663651467
4.0,5738.898820399992,2.3119808011814658
4.0,5740.021091699988,2.2735368956743
4.0,5700.608540549998,2.3135813953488373
4.0,5657.074497600006,2.3272110765753045
4.0,5657.9029999999875,2.3809386142430373
4.0,5679.0379755999975,2.3872024669943137
4.0,5580.622794799995,2.3399384378607158
4.0,5567.5704,2.375024485798237
4.0,5517.290137599994,2.35153650420826
4.0,5492.4498,2.40283502563587
4.0,5411.958185499893,2.3704634563184883
4.0,5299.2342540000045,2.3213395793880194
4.0,5208.677654400105,2.4430164630908124
4.0,5174.49726600001,2.497986723256067
4.0,5253.4581659999985,2.564357529554745
4.0,5176.324228500006,2.568166479190101
4.0,5148.668430399978,2.560067491563556
4.0,5040.614007000001,2.5417281707732484
4.0,5009.586893999985,2.617223198594025
4.0,4886.61921215,2.5805199388307263
4.0,4986.9925120000125,2.7190303030303027
4.0,4953.614347200038,2.7688198757763978
4.0,4915.7478210000045,2.7441224032839906
4.0,4926.058132050001,2.707242476143871
