DEPTH,VP,RHO,GR,VSH,RHOm,RHOf,PHIE,IP
1366.875,5257.17,2.255,24.7073,0.174274977571,2.67788399641,1.09,0.2663192005,11854.91835
1367.0,5237.77,2.2453,25.3411,0.183767705255,2.67940283284,1.09,0.273123228342,11760.364981
1367.125,5268.62,2.2358,23.7134,0.159388858851,2.67550221742,1.09,0.277326775444,11779.580596
1367.25,5273.68,2.2376,22.3033,0.13826911239,2.67212305798,1.09,0.274645550351,11800.386368
1367.375,4922.87,2.2344,22.1573,0.136082400111,2.67177318402,1.09,0.276508154543,10999.660728
1367.5,4172.47,2.2423,23.043,0.149347955349,2.67389567286,1.09,0.272489962724,9355.929481
1367.625,3770.31,2.2441,23.2737,0.152803260298,2.67444852165,1.09,0.271607764953,8460.952671
1367.75,4651.19,2.2406,25.1875,0.181467164119,2.67903474626,1.09,0.275912623869,10421.456314
1367.875,4244.54,2.2304,24.412,0.169852127327,2.67717634037,1.09,0.281491305665,9467.022016
1368.0,3610.98,2.2145,23.9098,0.162330436189,2.67597286979,1.09,0.290971477874,7996.51521
1368.125,3535.41,2.2113,24.8726,0.176750755239,2.67828012084,1.09,0.294016222146,7817.852133
1368.25,4169.39,2.198,24.4529,0.170464706314,2.67727435301,1.09,0.301948023101,9164.31922
1368.375,3789.4,2.1934,23.0688,0.149734374368,2.6739574999,1.09,0.303390400266,8311.66996
1368.5,3691.18,2.1875,20.3975,0.10972502842,2.66755600455,1.09,0.304303621021,8074.45625
1368.625,4241.92,2.1766,19.3809,0.0944989208725,2.66511982734,1.09,0.310147722643,9232.963072
1368.75,4581.24,2.1718,20.0649,0.104743518121,2.6667589629,1.09,0.31390908474,9949.537032
1368.875,3831.59,2.1702,21.2322,0.122226732108,2.66955627714,1.09,0.316137059733,8315.316618
1369.0,4993.18,2.1841,22.1805,0.136429877679,2.67182878043,1.09,0.308332220568,10905.604438
1369.125,5143.44,2.2017,21.2523,0.122527779484,2.66960444472,1.09,0.296216211775,11324.311848
1369.25,4186.87,2.2123,19.9854,0.103552808353,2.66656844934,1.09,0.288137473211,9262.612501
1369.375,3691.76,2.2114,19.7975,0.100738539606,2.66611816634,1.09,0.288505123568,8163.958064
1369.5,3690.88,2.2146,20.4296,0.110205805571,2.66763292889,1.09,0.287159909377,8173.822848
1369.625,3676.82,2.2252,20.0713,0.104839374001,2.66677429984,1.09,0.280049148369,8181.659864
1369.75,4086.16,2.2364,21.1863,0.121539265714,2.66944628251,1.09,0.274176011751,9138.288224
1369.875,3848.87,2.2406,21.4602,0.125641597858,2.67010265566,1.09,0.271819463197,8623.778122
1370.0,3616.15,2.2348,22.3229,0.138562671024,2.67217002736,1.09,0.276436805021,8081.37202
