DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SWE,SWX,VPVS,IP,IS,VSH,RHOm,RHOf,PHIE
2013.2528,2294.7000000000007,876.9,1.9972,91.8785,0.4908,,,,2.6168320218953136,,,0.4936212406729436,2.7289793985076707,,
2013.4052,2296.7,943.0,2.0455,86.8004,0.4833,2.240103999999997,1.0,1.0,2.4355249204665954,5144.8468567999935,2112.4180719999968,0.4360098974293231,2.719761583588692,1.09,0.2943115044671145
2013.5576,2290.4,912.5,2.1122,86.0021,0.4474,2.2422880000000003,1.0,1.0,2.510027397260274,5135.7364352,2046.0878,0.4269531369654917,2.7183125019144785,1.09,0.29234222629550244
2013.71,2277.5,891.5999999999997,2.196,87.35700000000001,0.414,2.2428,1.0,1.0,2.5543965903992825,5107.977,1999.68048,0.4423245571739912,2.7207719291478387,1.09,0.2930955093135577
2013.8624,2262.0,890.5,2.202,90.4024,0.4293,2.240064,1.0,1.0,2.54014598540146,5067.024767999998,1994.7769920000005,0.476874799334272,2.7262999678934836,1.09,0.2971557644894703
2014.0148,2263.1,863.1,2.1667,93.3074,0.4746,2.2374080000000025,1.0,1.0,2.6220600162206,5063.4780448000065,1931.1068448000021,0.5098321952348484,2.731573151237576,1.09,0.30103145319172897
2014.1672,2256.7,817.5,2.137,91.9733,0.501,2.234,1.0,1.0,2.7604892966360848,5041.4677999999985,1826.295,0.4946967522500087,2.7291514803600005,1.09,0.3020779264715992
2014.3196,2248.9,810.6,2.1302,88.62700000000002,0.473,2.2338039999999992,1.0,1.0,2.7743646681470517,5023.601815599998,1810.7215223999995,0.4567327818878404,2.723077245102054,1.09,0.2996020222371535
2014.472,2239.1,790.2,2.1424,84.5827,0.4236,2.2322800000000003,1.0,1.0,2.833586433814224,4998.298148000002,1763.9476560000005,0.41084996046247,2.715735993673995,1.09,0.2973766931132738
2014.6244,2242.9,725.3,2.2003,84.5907,0.4114,2.2302680000000006,1.0,1.0,3.092375568730181,5002.268097200002,1617.6133804000006,0.4109407209331084,2.7157505153492973,1.09,0.2986205514103678
2014.7769,2234.6,725.3,2.2142,84.4878,0.443,2.2283845,1.0,1.0,3.0809320281262926,4979.548003700002,1616.24727785,0.4097733143795216,2.7155637303007234,1.09,0.2996986345226814
2014.9292,2195.600000000001,688.8,2.1851,86.194,0.506,2.2284160000000006,1.0,1.0,3.187572590011615,4892.710169600002,1534.9329408000006,0.4291302537549309,2.7186608406007893,1.09,0.3010110075587893
2015.0815,2181.8,762.2,2.1432,83.5144,0.532,2.2229250000000005,1.0,1.0,2.862503279979008,4849.977765000001,1694.3134350000007,0.3987300341145919,2.7137968054583346,1.09,0.3022987875134909
2015.234,2181.4,748.4,2.0798,85.3374,0.5283,2.2159800000000027,1.0,1.0,2.914751469802245,4833.938772000006,1658.4394320000022,0.4194120763613221,2.7171059322178115,1.09,0.30798605198049633
2015.3864,2200.0,766.7,2.0668,80.9337,0.505,2.214,1.0,1.0,2.869440459110473,4870.8,1697.4738,0.3694518407925205,2.709112294526804,1.09,0.3057924371277183
2015.5388,2206.8,787.5,2.0839,83.6182,0.4759,2.215940000000004,1.0,1.0,2.802285714285714,4890.136392000007,1745.0527500000023,0.3999076512211254,2.7139852241953797,1.09,0.3066808840222903
2015.6912,2210.4,789.5,2.0904,84.59,0.4922,2.219456,1.0,1.0,2.7997466751108298,4905.8855423999985,1752.260512,0.4109327793919276,2.7157492447027085,1.09,0.3052704753330288
2015.8436,2261.8,851.5,2.071,88.994,0.4982,2.2204359999999994,1.0,1.0,2.656253669994128,5022.182144799999,1890.7012539999998,0.460896418478378,2.7237434269565406,1.09,0.3080700547295483
2015.996,2271.4,860.7,2.073,90.1404,0.5066,2.227240000000006,1.0,1.0,2.639014755431625,5058.952936000012,1916.9854680000049,0.4739023939208637,2.7258243830273376,1.09,0.3047908982164865
2016.1484,2293.2000000000007,835.0,2.0944,89.5602,0.4927,2.234484000000001,1.0,1.0,2.746347305389222,5124.118708800003,1865.7941400000007,0.4673199907878122,2.72477119852605,1.09,0.29991181577465026
2016.3008,2351.0,864.3,2.1115,88.631,0.4738,2.2360480000000016,1.0,1.0,2.7201203285896103,5256.948848000005,1932.6162864000007,0.4567781621231597,2.7230845059397053,1.09,0.29823104938433936
2016.4532,2360.9,865.1999999999997,2.1231,88.7827,0.4508,2.2457239999999916,1.0,1.0,2.728733240869164,5301.929791599981,1943.0004047999926,0.4584992075476408,2.723359873207622,1.09,0.2924253748622099
2016.6056,2336.2,917.0,2.1604,89.3878,0.418,2.2561120000000034,1.0,1.0,2.5476553980370773,5270.728854400008,2068.854704000003,0.4653641026455542,2.7244582564232886,1.09,0.2865452541126225
2016.7581,2346.3,870.8000000000003,2.0927,87.3307,0.4537,2.256257000000001,1.0,1.0,2.6944189251263193,5293.855799100002,1964.7485956000005,0.4420261821267673,2.7207241891402827,1.09,0.2848226525572961
2016.9104,2278.7000000000007,859.3,2.0373,88.0504,0.4665,2.2523119999999968,1.0,1.0,2.651809612475271,5132.343354399994,1935.411701599997,0.45019122096657627,2.722030595354652,1.09,0.28781237109870605
2017.0627,2289.1,834.5,2.0036,87.2316,0.4898,2.2496705000000046,1.0,1.0,2.7430796884361888,5149.7207415500125,1877.350032250005,0.440901886796734,2.720544301887477,1.09,0.28878320039657923
2017.2152,2294.4,835.4,2.0673,88.7209,0.4572,2.238456000000002,1.0,1.0,2.7464687574814457,5135.913446400004,1870.0061424000016,0.457798082911959,2.7232476932659133,1.09,0.296826804204144
