DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SWE,SWX,VPVS,IP,IS,VSH,RHOm,RHOf,PHIE,VP_FRMB,VS_FRMB,RHO_FRMB,K_FRMB,K_DRY,VP_FRMO,VS_FRMO,RHO_FRMO,K_FRMO,VP_FRMG,VS_FRMG,RHO_FRMG,K_FRMG
2013.2528,2294.7000000000007,876.9,1.9972,91.8785,0.4908,,,,2.6168320218953136,,,0.4936212406729436,2.7289793985076707,,,2294.7000000000007,876.9,,,,2294.7000000000007,876.9,,,2294.7000000000007,876.9,,
2013.4052,2296.7,943.0,2.0455,86.8004,0.4833,2.240103999999997,1.0,1.0,2.4355249204665954,5144.8468567999935,2112.4180719999968,0.4360098974293231,2.719761583588692,1.09,0.2943115044671145,2296.7,943.0,2.240103999999997,9.160156120151214,4.096159487593755,2296.7,943.0,2.240103999999997,6.084761112084022,2296.7,943.0,2.240103999999997,4.243140177073365
2013.5576,2290.4,912.5,2.1122,86.0021,0.4474,2.2422880000000003,1.0,1.0,2.510027397260274,5135.7364351999995,2046.0878,0.4269531369654917,2.7183125019144785,1.09,0.29234222629550244,2290.4,912.5,2.2422880000000003,9.273483907848746,4.199000843011584,2290.4,912.5,2.2422880000000003,6.19024722810381,2290.4,912.5,2.2422880000000003,4.346111884090201
2013.71,2277.5,891.5999999999997,2.1959999999999997,87.35700000000001,0.414,2.2428,1.0,1.0,2.5543965903992825,5107.977,1999.68048,0.4423245571739912,2.7207719291478387,1.09,0.2930955093135577,2277.5,891.5999999999997,2.2428,9.256197462876,4.299676023880984,2277.5,891.5999999999997,2.2428,6.244314432708716,2277.5,891.5999999999997,2.2428,4.4433296107062645
2013.8624,2262.0,890.5,2.202,90.4024,0.4293,2.240064,1.0,1.0,2.54014598540146,5067.024767999998,1994.7769920000005,0.476874799334272,2.726299967893484,1.09,0.2971557644894703,2262.0,890.5,2.240064,9.093144810047997,4.3500088228583484,2262.0,890.5,2.240064,6.210901543503313,2262.0,890.5,2.240064,4.487474823818242
2014.0148,2263.1,863.1,2.1667,93.3074,0.4746,2.2374080000000025,1.0,1.0,2.6220600162206,5063.4780448000065,1931.1068448000021,0.5098321952348484,2.731573151237576,1.09,0.30103145319172897,2263.1,863.1,2.2374080000000025,9.236839406191052,5.00909531605788,2263.1,863.1,2.2374080000000025,6.655019844044683,2263.1,863.1,2.2374080000000025,5.130124570064842
2014.1672,2256.7,817.5,2.137,91.9733,0.501,2.234,1.0,1.0,2.7604892966360848,5041.4677999999985,1826.295,0.4946967522500087,2.7291514803600005,1.09,0.3020779264715992,2256.7,817.5,2.234,9.386418834259999,5.208126132188782,2256.7,817.5,2.234,6.828577731838071,2256.7,817.5,2.234,5.327013762599805
2014.3196,2248.9,810.6,2.1302,88.62700000000002,0.473,2.2338039999999992,1.0,1.0,2.774364668147052,5023.601815599998,1810.7215223999995,0.4567327818878404,2.7230772451020546,1.09,0.2996020222371535,2248.9,810.6,2.2338039999999992,9.340550301692916,4.754294474495428,2248.9,810.6,2.2338039999999992,6.540537528713628,2248.9,810.6,2.2338039999999992,4.885674082314561
2014.4720000000002,2239.1,790.2,2.1424,84.5827,0.4236,2.2322800000000003,1.0,1.0,2.8335864338142236,4998.298148000002,1763.9476560000005,0.41084996046246997,2.715735993673995,1.09,0.2973766931132738,2239.1,790.2,2.2322800000000003,9.333194132825202,4.3423996345631615,2239.1,790.2,2.2322800000000003,6.290099694345331,2239.1,790.2,2.2322800000000003,4.485824536261877
2014.6244,2242.9,725.3,2.2003,84.5907,0.4114,2.2302680000000006,1.0,1.0,3.092375568730181,5002.268097200002,1617.6133804000006,0.4109407209331084,2.7157505153492973,1.09,0.2986205514103678,2242.9,725.3,2.2302680000000006,9.655247135471058,4.994193251742606,2242.9,725.3,2.2302680000000006,6.800456063647475,2242.9,725.3,2.2302680000000006,5.126652367120783
2014.7769,2234.6,725.3,2.2142,84.4878,0.44299999999999995,2.2283845,1.0,1.0,3.0809320281262926,4979.548003700002,1616.24727785,0.4097733143795216,2.7155637303007234,1.09,0.2996986345226814,2234.6,725.3,2.2283845,9.564279101568548,4.840793469149843,2234.6,725.3,2.2283845,6.672836762862701,2234.6,725.3,2.2283845,4.975211470502199
2014.9292,2195.600000000001,688.8,2.1851,86.194,0.506,2.2284160000000006,1.0,1.0,3.187572590011615,4892.710169600002,1534.9329408000006,0.4291302537549309,2.7186608406007893,1.09,0.3010110075587893,2195.600000000001,688.8,2.2284160000000006,9.332752035543049,4.570712569839093,2195.600000000001,688.8,2.2284160000000006,6.42397503179927,2195.600000000001,688.8,2.2284160000000006,4.706958800711897
2015.0815,2181.8,762.2,2.1432,83.5144,0.532,2.2229250000000005,1.0,1.0,2.862503279979008,4849.977765000001,1694.3134350000007,0.3987300341145919,2.7137968054583346,1.09,0.3022987875134909,2181.8,762.2,2.2229250000000005,8.859807220801,3.474127704729421,2181.8,762.2,2.2229250000000005,5.585568935927532,2181.8,762.2,2.2229250000000005,3.630033895409842
2015.234,2181.4,748.4,2.0798,85.3374,0.5283,2.2159800000000027,1.0,1.0,2.914751469802245,4833.938772000006,1658.4394320000022,0.4194120763613221,2.7171059322178115,1.09,0.30798605198049633,2181.4,748.4,2.2159800000000027,8.88985260936241,3.8278242927889248,2181.4,748.4,2.2159800000000027,5.803742866689622,2181.4,748.4,2.2159800000000027,3.973345447854467
