%' Depth (m) '	      ' Vp'	    'Density'	'Gamma Ray'    
    2089.30029        2.71900        2.06390       95.62150
    2089.45288        2.67368        1.96860       99.51040
    2089.60522        2.59847        1.98370      116.61710
    2089.75757        2.58524        2.08040      118.01970
    2089.90991        2.56566        2.16510      118.03170
    2090.06250        2.52662        2.18120      118.73610
    2090.21484        2.45364        2.20120      117.19930
    2090.36719        2.48565        2.24130      128.56230
    2090.51953        2.44969        2.19220      131.18700
    2090.67212        2.43016        2.11380      135.23010
    2090.82446        2.36419        1.98930      127.99860
    2090.97681        2.35506        1.91440      119.26920
    2091.12915        2.36236        1.85870      116.95640
    2091.28149        2.37524        1.86650      124.07370
    2091.43408        2.39202        1.92380      124.82410
    2091.58643        2.34599        2.02690      123.45940
    2091.73877        2.35324        2.09890      122.27710
    2091.89111        2.28788        2.11040      130.35280
    2092.04370        2.30518        2.11220      133.77650
    2092.19604        2.26241        2.11810      134.29210
    2092.34839        2.20035        2.11800      137.60690
    2092.50073        2.26073        2.10910      136.84641
    2092.65332        2.26073        2.10870      138.35629
    2092.80566        2.26577        2.11370      140.77460
    2092.95801        2.36970        2.12480      134.80099
    2093.11035        2.32985        2.14660      130.58279
    2093.26270        2.35324        2.16270      128.31160
    2093.41528        2.39578        2.15910      127.07700
    2093.56763        2.35506        2.12680      123.98930
    2093.71997        2.36786        2.03670      124.03250
    2093.87231        2.36236        1.91060      138.80060
    2094.02490        2.34961        1.83230      136.10980
    2094.17725        2.22768        1.85030      135.94521
    2094.32959        2.23258        1.96280      144.48199
    2094.48193        2.20672        2.08750      127.41110
    2094.63452        2.22931        2.12380      128.31419
    2094.78687        2.35688        2.13790      117.14610
    2094.93921        2.37710        2.16570      121.55240
    2095.09155        2.36602        2.21000      114.41550
    2095.24390        2.40334        2.22860       99.73880
    2095.39648        2.43599        2.24090       97.71790
    2095.54883        2.49379        2.23420       97.61290
    2095.70117        2.56514        2.24690       93.65550
    2095.85352        2.53317        2.25560       96.23610
    2096.00610        2.56299        2.22760      102.39440
    2096.15845        2.43794        2.19980      106.15900
    2096.31079        2.36970        2.19060      105.44300
    2096.46313        2.35688        2.23390       99.81840
    2096.61548        2.38640        2.26580       95.71170
    2096.76807        2.41285        2.26360       94.23960
    2096.92041        2.54162        2.24560       93.05510
    2097.07275        2.61578        2.22340       91.91020
    2097.22510        2.69440        2.21290      104.27430
    2097.37769        2.45561        2.20560      107.23580
    2097.53003        2.37524        2.21290      106.47830
    2097.68237        2.31043        2.20310      104.84120
    2097.83472        2.30170        2.19850      101.58470
    2097.98730        2.43404        2.19560       94.39160
    2098.13965        2.65219        2.21360       86.90190
    2098.29199        2.80602        2.21000       87.81580
    2098.44434        2.93292        2.18690       91.21070
    2098.59668        2.88026        2.17200       98.66690
    2098.74927        2.67783        2.16400      102.43240
    2098.90161        2.65450        2.19380      102.11150
    2099.05396        2.47355        2.22500      106.05260
    2099.20630        2.37524        2.21450      106.99420
    2099.35889        2.34059        2.14940      109.17900
    2099.51123        2.41667        2.06500      108.12970
    2099.66357        2.50198        1.98520       91.77930
    2099.81592        2.55654        1.98970       88.17500
    2099.96851        2.54162        2.04720       78.59720
    2100.12085        2.54586        2.09880       74.61800
    2100.27319        2.54374        2.09520       75.95890
    2100.42554        2.51644        2.08160       74.26450
    2100.57788        2.54586        2.12620       72.43300
    2100.73047        2.54374        2.17220       72.21820
    2100.88281        2.55654        2.15210       72.77480
    2101.03516        2.55012        2.09740       71.65390
    2101.18750        2.54799        2.04690       70.40230
    2101.34009        2.56514        2.05610       67.92810
    2101.49243        2.58692        2.06620       81.19980
    2101.64478        2.53106        2.11740       85.46610
    2101.79712        2.42051        2.18290       99.91130
    2101.94971        2.41094        2.23760      103.74310
    2102.10205        2.29132        2.27190      111.64570
    2102.25439        2.36419        2.27430      100.02590
    2102.40674        2.38267        2.24850       98.17240
    2102.55908        2.38267        2.21040       97.16340
    2102.71167        2.45561        2.22080       97.38400
    2102.86401        2.49583        2.24230       97.17720
    2103.01636        2.56731        2.27290       94.90680
    2103.16870        2.57164        2.26650       72.08780
    2103.32129        2.62027        2.26380       71.77150
    2103.47363        2.72328        2.26210       68.28380
    2103.62598        2.74042        2.26690       67.97110
    2103.77832        2.77789        2.26990       70.87250
    2103.93091        2.84797        2.27570       70.44400
    2104.08325        2.80602        2.29200       69.86600
    2104.23560        2.83209        2.28850       70.99350
    2104.38794        2.84531        2.29160       71.64500
    2104.54028        2.84797        2.28750       68.81990
    2104.69287        2.87212        2.29610       66.99810
    2104.84521        2.85330        2.27770       68.57970
    2104.99756        2.78550        2.26930       68.33290
    2105.14990        2.76529        2.26440       65.40980
    2105.30249        2.74042        2.26250       64.18280
    2105.45483        2.73060        2.26960       65.07510
    2105.60718        2.75529        2.27860       64.44110
    2105.75952        2.75529        2.29000       65.54670
    2105.91211        2.73305        2.29080       59.10250
    2106.06445        2.65219        2.28480       67.26960
    2106.21680        2.58692        2.27930       93.11590
    2106.36914        2.40523        2.28130      116.58040
    2106.52148        2.36602        2.28910      122.94840
    2106.67407        2.23750        2.28660      127.39310
    2106.82642        2.24243        2.27880      119.28260
    2106.97876        2.27933        2.26580      116.42740
    2107.13110        2.31043        2.27820      119.71910
    2107.28369        2.36970        2.29100      111.44960
    2107.43604        2.42436        2.29150      109.23710
    2107.58838        2.45958        2.28140      105.78060
    2107.74072        2.42244        2.27030      106.19200
    2107.89331        2.43989        2.26930      111.91390
    2108.04565        2.38453        2.26930      114.95710
    2108.19800        2.33342        2.26950      126.13440
    2108.35034        2.24409        2.26170      129.42090
    2108.50269        2.26241        2.26130      126.84930
    2108.65527        2.32452        2.26460      108.79530
    2108.80762        2.35688        2.26870       96.07210
    2108.95996        2.50815        2.26980       96.34190
    2109.11230        2.53317        2.26910       97.14830
    2109.26489        2.56299        2.27610       95.59220
    2109.41724        2.63614        2.28640       93.36430
    2109.56958        2.58035        2.29510       94.87090
    2109.72192        2.57164        2.28070       84.93080
    2109.87451        2.63614        2.26120       83.69890
    2110.02686        2.74536        2.23560       80.63920
    2110.17920        2.74536        2.24060       79.17290
    2110.33154        2.66611        2.24210       92.37390
    2110.48389        2.58035        2.25160      120.38420
    2110.63647        2.44576        2.25330      124.62430
    2110.78882        2.32630        2.25540      124.42490
    2110.94116        2.34780        2.25150      122.82040
    2111.09351        2.30868        2.24270      122.20950
    2111.24609        2.27422        2.24260      122.45900
    2111.39844        2.26915        2.24450      123.30360
    2111.55078        2.24905        2.24580      125.14650
    2111.70312        2.26577        2.22950      124.23140
    2111.85571        2.28960        2.17580      123.16070
    2112.00806        2.32452        2.15830      108.99170
    2112.16040        2.32985        2.17170      109.67750
    2112.31274        2.32985        2.23630      110.76770
    2112.46509        2.31922        2.26410      109.27720
    2112.61768        2.30693        2.25120      119.89090
    2112.77002        2.32098        2.23540      120.89010
    2112.92236        2.32807        2.23030      118.91500
    2113.07471        2.33164        2.23000      116.29710
    2113.22729        2.32807        2.24340      112.18020
    2113.37964        2.34599        2.24250      113.84130
    2113.53198        2.32630        2.24610      110.94720
    2113.68433        2.34059        2.24770      116.86980
    2113.83691        2.35506        2.24260      122.20800
    2113.98926        2.34419        2.24910      124.74730
    2114.14160        2.34239        2.25590      126.10820
    2114.29395        2.34780        2.27390      123.76290
    2114.44629        2.35506        2.28540      120.49740
    2114.59888        2.35142        2.27880      114.68550
    2114.75122        2.35870        2.24000      121.10290
    2114.90356        2.36419        2.19010      123.72820
    2115.05591        2.34599        2.15690      108.79120
    2115.20850        2.35324        2.16440      106.10480
    2115.36084        2.36419        2.20850      107.79220
    2115.51318        2.35870        2.24850      106.03150
    2115.66553        2.36419        2.27960      106.42470
    2115.81812        2.32452        2.27880      104.69680
    2115.97046        2.29997        2.27910      107.86650
    2116.12280        2.30693        2.27120      111.85150
    2116.27515        2.29997        2.27830      112.49630
    2116.42749        2.29997        2.28320      115.26400
    2116.58008        2.28445        2.28090      113.90160
    2116.73242        2.28788        2.27410      111.89450
    2116.88477        2.28445        2.27980      104.65790
    2117.03711        2.30344        2.28180      101.73390
    2117.18970        2.31745        2.28350       99.26630
    2117.34204        2.30170        2.27460      101.73360
    2117.49438        2.34419        2.27920      104.56910
    2117.64673        2.36970        2.28170      100.81590
    2117.79932        2.36053        2.28100      114.36040
    2117.95166        2.32630        2.28740      118.70630
    2118.10400        2.30518        2.29640      117.88940
    2118.25635        2.25071        2.29420      107.08880
    2118.40869        2.35506        2.28260      100.50520
    2118.56128        2.39955        2.27270       90.41690
    2118.71362        2.46555        2.27310       86.80670
    2118.86597        2.50403        2.27480       86.01580
    2119.01831        2.46156        2.27530      104.31070
    2119.17090        2.36602        2.27230      104.27950
    2119.32324        2.28960        2.28390      102.18860
    2119.47559        2.27422        2.28940      102.28920
    2119.62793        2.24574        2.29590      101.71160
    2119.78052        2.28445        2.29010      100.86990
    2119.93286        2.29997        2.29690       98.05880
    2120.08521        2.36236        2.29970       91.98920
    2120.23755        2.43599        2.29640       94.45620
    2120.38989        2.43404        2.29320      103.12730
    2120.54248        2.40523        2.29540      103.67570
    2120.69482        2.33342        2.29600      107.18650
    2120.84717        2.28274        2.30180      109.96740
    2120.99951        2.30344        2.29560      100.41350
    2121.15210        2.29997        2.28840       99.75230
    2121.30444        2.30344        2.26450       96.92070
    2121.45679        2.27253        2.26960      111.98940
    2121.60913        2.27933        2.27730      108.73720
    2121.76172        2.26241        2.29680      106.48060
    2121.91406        2.27933        2.30310      109.17970
    2122.06641        2.30518        2.30850       95.11770
    2122.21875        2.34599        2.31270       88.63870
    2122.37109        2.44380        2.31650       84.87740
    2122.52368        2.58692        2.31670       82.72370
    2122.67603        2.69440        2.35800       72.61240
    2122.82837        2.70636        2.43580       72.95150
    2122.98071        2.64989        2.56950       67.28210
    2123.13330        2.56947        2.61420       67.30170
    2123.28564        2.52896        2.53110       79.82700
    2123.43799        2.54374        2.40200       83.61830
    2123.59033        2.53950        2.31580       95.72800
    2123.74292        2.52687        2.28200      118.15410
    2123.89526        2.44380        2.27340      120.35070
    2124.04761        2.37524        2.28050      122.89320
    2124.19995        2.32985        2.28370      119.91560
    2124.35229        2.32807        2.27590      122.62720
    2124.50488        2.33700        2.25430      121.54910
    2124.65723        2.33521        2.23340      123.33690
    2124.80957        2.33342        2.26210      117.23850
    2124.96191        2.32098        2.31490      117.67470
    2125.11450        2.33164        2.34450      115.54380
    2125.26685        2.32985        2.31510      114.30630
    2125.41919        2.32452        2.30710      113.91400
    2125.57153        2.32098        2.32470      116.21620
    2125.72412        2.31569        2.32660      112.29140
    2125.87646        2.31569        2.31790      109.25650
    2126.02881        2.32098        2.30070      107.88590
    2126.18115        2.32630        2.28260      107.91100
    2126.33350        2.32098        2.25800      110.07800
    2126.48608        2.32807        2.24410      112.85200
    2126.63843        2.32985        2.24570      116.74780
    2126.79077        2.32807        2.24960      115.78470
    2126.94312        2.33879        2.24150      114.98630
    2127.09570        2.35506        2.22720      118.93850
    2127.24805        2.36419        2.21500      119.17270
    2127.40039        2.37895        2.21020      115.37300
    2127.55273        2.37710        2.22040      115.04100
    2127.70508        2.37895        2.21980      120.67520
    2127.85767        2.38640        2.20660      127.20880
    2128.01001        2.39766        2.19820      120.22440
    2128.16235        2.40144        2.19370      119.53230
    2128.31470        2.39766        2.20590      118.91480
    2128.46729        2.40334        2.21050      120.29350
    2128.61963        2.39955        2.22530      121.21140
    2128.77197        2.39390        2.22710      125.04000
    2128.92432        2.39202        2.24420      127.26220
    2129.07690        2.38267        2.28530      121.91090
    2129.22925        2.36602        2.35560      124.37110
    2129.38159        2.35688        2.33730      122.35670
    2129.53394        2.33164        2.27380      124.61930
    2129.68628        2.41859        2.22780      126.57390
    2129.83887        2.39766        2.24710      122.91080
    2129.99121        2.39390        2.27250      133.55510
    2130.14355        2.37895        2.28230      130.58730
    2130.29590        2.40523        2.27700      130.24100
    2130.44849        2.41285        2.25840      128.88560
    2130.60083        2.41667        2.25940      113.11540
    2130.75317        2.43599        2.26700      104.60290
    2130.90552        2.54799        2.28080       89.82160
    2131.05811        2.84001        2.30890       78.11830
    2131.21045        3.32302        2.37560       79.81210
    2131.36279        3.35595        2.47280       91.60280
    2131.51514        3.41231        2.50880      101.43390
    2131.66748        2.95567        2.41270      103.18180
    2131.82007        2.65914        2.32730       99.26630
    2131.97241        2.73550        2.28840      102.19100
    2132.12476        2.85865        2.29840      100.56080
    2132.27710        2.89669        2.29240       97.90210
    2132.42969        2.90774        2.27620      101.11900
    2132.58203        2.31393        2.27010      100.43330
    2132.73438        2.64071        2.26740      101.91370
    2132.88672        2.53317        2.27260      101.64700
    2133.03931        2.65450        2.26660       90.52470
    2133.19165        2.72816        2.26950       92.78940
    2133.34399        2.75778        2.26390       98.96330
    2133.49634        2.91609        2.25920      102.55100
    2133.64868        2.78805        2.24970      109.77240
    2133.80127        2.81899        2.26030      113.14120
    2133.95361        2.39014        2.26620      115.25430
    2134.10596        2.32807        2.26790      117.00180
    2134.25830        2.10608        2.26210      114.20010
    2134.41089        2.08590        2.28920      111.55320
    2134.56323        2.06891        2.34780      114.04990
    2134.71558        2.36786        2.38670      120.24050
    2134.86792        2.36419        2.34560      123.18350
    2135.02051        2.29477        2.27820      120.57740
    2135.17285        2.23914        2.23440      108.14190
    2135.32520        2.26073        2.23500      105.41870
    2135.47754        2.27762        2.23750      106.60760
    2135.62988        2.29823        2.25450      106.97570
    2135.78247        2.23750        2.28140      104.37790
    2135.93481        2.25905        2.30130      102.86560
    2136.08716        2.23422        2.29860      106.12510
    2136.23950        2.22443        2.28970      108.87100
    2136.39209        2.22606        2.26970      112.00740
    2136.54443        2.20832        2.24950      106.45310
    2136.69678        2.20512        2.24790      107.42700
    2136.84912        2.19086        2.24600      109.27250
    2137.00171        2.23095        2.26340       95.56250
    2137.15405        2.32275        2.27090       93.30150
    2137.30640        2.48161        2.28220       93.07550
    2137.45874        2.51229        2.28130       97.08010
    2137.61108        2.47757        2.29190      103.66740
    2137.76367        2.31922        2.28810      110.37650
    2137.91602        2.23750        2.30250      111.77240
    2138.06836        2.22443        2.31850      118.77600
    2138.22070        2.22768        2.32020      108.05210
    2138.37329        2.23914        2.28970      107.59040
    2138.52563        2.24739        2.25430      110.11720
    2138.67798        2.18145        2.24450      106.40430
    2138.83032        2.16595        2.25500      109.32240
    2138.98291        2.49583        2.25970      101.24020
    2139.13525        2.50609        2.24600       98.52940
    2139.28760        2.54586        2.24780       96.85650
    2139.43994        2.67547        2.26000       82.27800
    2139.59229        2.52896        2.28370       82.21740
    2139.74487        2.51022        2.30260       99.45040
    2139.89722        2.50198        2.29050      101.09070
    2140.04956        2.33700        2.26070       97.61830
    2140.20190        2.32098        2.23300       99.91320
    2140.35449        2.28788        2.23750      107.98580
    2140.50684        2.24739        2.21590      110.21200
    2140.65918        2.18145        2.17730      100.98130
    2140.81152        2.11485        2.15730      101.03350
    2140.96411        2.39202        2.18510      104.55530
    2141.11646        2.38640        2.23330      102.72670
    2141.26880        2.32098        2.24950      100.00710
    2141.42114        2.32098        2.25070      101.37250
    2141.57349        2.31922        2.23410      106.67180
    2141.72607        2.30868        2.23720      108.40310
    2141.87842        2.32985        2.23740      109.52100
    2142.03076        2.31569        2.24040      102.89990
    2142.18311        2.31569        2.24440      104.20180
    2142.33569        2.31922        2.23590       94.07910
    2142.48804        2.37710        2.23000       89.62790
    2142.64038        2.64529        2.23570       77.26130
    2142.79272        2.75778        2.25070       74.99670
    2142.94531        2.76529        2.25980       87.82840
    2143.09766        2.70876        2.31320       91.81340
    2143.25000        2.38640        2.36050       94.19660
    2143.40234        2.40713        2.40260       91.69360
    2143.55469        2.41667        2.34990       92.37050
    2143.70728        2.44184        2.30580       93.00340
    2143.85962        2.44576        2.28480       94.56640
    2144.01196        2.36786        2.27140       92.32730
    2144.16431        2.37155        2.23650       90.09900
    2144.31689        2.37155        2.22930       96.77870
    2144.46924        2.37155        2.23740      100.71870
    2144.62158        2.34599        2.25640       99.71120
    2144.77393        2.36419        2.24860      102.65150
    2144.92651        2.36602        2.22950      102.59790
    2145.07886        2.36786        2.22110      100.94410
    2145.23120        2.36786        2.21350       96.97360
    2145.38354        2.37339        2.20550       95.53100
    2145.53589        2.36786        2.19800       95.91590
    2145.68848        2.37710        2.20040       99.73510
    2145.84082        2.37710        2.21600       96.76510
    2145.99316        2.36786        2.23710       98.92250
    2146.14551        2.36053        2.26530       93.82800
    2146.29810        2.34780        2.25660       97.65670
    2146.45044        2.32452        2.21730       95.83900
    2146.60278        2.32098        2.19990      100.98230
    2146.75513        2.33342        2.21700      104.61350
    2146.90771        2.32275        2.23110      104.31940
    2147.06006        2.33879        2.22000      105.55910
    2147.21240        2.34239        2.22050      104.76520
    2147.36475        2.32275        2.21880      103.58440
    2147.51709        2.34419        2.22780      100.23390
    2147.66968        2.36970        2.24250       97.85260
    2147.82202        2.41285        2.26120      101.07400
    2147.97437        2.40144        2.26260       94.83700
    2148.12671        2.34419        2.22370       97.18970
    2148.27930        2.27762        2.19780       99.99450
    2148.43164        2.24409        2.19920       87.55800
    2148.58398        2.28616        2.21160       80.70700
    2148.73633        2.33700        2.23030       71.47680
    2148.88892        2.47355        2.22800       81.42580
    2149.04126        2.48161        2.24340       83.02310
    2149.19360        2.47757        2.26190       92.91150
    2149.34595        2.41285        2.27190       91.55980
    2149.49829        2.79572        2.25770       88.14100
    2149.65088        2.46754        2.23010       82.37310
    2149.80322        2.44380        2.20840       79.21370
    2149.95557        2.53317        2.20120       77.33880
    2150.10791        2.64071        2.21560       80.52070
    2150.26050        2.76529        2.21810       76.70320
    2150.41284        2.77789        2.19790       76.25570
    2150.56519        2.85330        2.18280       78.56400
    2150.71753        2.81899        2.18710       94.42000
    2150.87012        3.40089        2.18750       93.68090
    2151.02246        3.35595        2.16730       93.80930
    2151.17480        3.15451        2.13680       82.98420
    2151.32715        3.55561        2.14490       80.27000
    2151.47949        3.73421        2.17120       77.07130
    2151.63208        3.25559        2.20490       74.49570
    2151.78442        3.25559        2.20930       76.49510
    2151.93677        3.01711        2.21320       66.36210
    2152.08911        2.94995        2.22460       63.57000
    2152.24170        2.92729        2.25340       76.72360
    2152.39404        2.97587        2.26740       78.43980
    2152.54639        3.02610        2.23590       77.17890
    2152.69873        3.02010        2.19620       83.67160
    2152.85132        2.92729        2.17830       76.57140
    2153.00366        2.90497        2.19800       75.98740
    2153.15601        2.84265        2.21040       74.60360
    2153.30835        2.74783        2.21250       77.18050
    2153.46069        2.80602        2.20980       77.32660
    2153.61328        2.82684        2.22640       77.86480
    2153.76562        2.85330        2.24970       76.46980
    2153.91797        2.93858        2.25720       76.83150
    2154.07031        2.91609        2.24640       77.74410
    2154.22290        2.83472        2.22220       80.16710
    2154.37524        2.82684        2.20560       76.43010
    2154.52759        2.80086        2.18880       77.30930
    2154.67993        2.82160        2.18000       86.25230
    2154.83252        2.87483        2.18480       86.23550
    2154.98486        3.02610        2.20340       89.15530
    2155.13721        3.02911        2.21860       93.18930
    2155.28955        3.20425        2.20750       86.46670
    2155.44189        3.04728        2.18980       85.48640
    2155.59448        2.80860        2.18540       77.73510
    2155.74683        2.72816        2.19090       86.70950
    2155.89917        2.58253        2.19370       95.98530
    2156.05151        2.53527        2.18670       78.89410
    2156.20410        2.56514        2.18250       76.02890
    2156.35645        2.57598        2.19930       79.05640
    2156.50879        2.57598        2.23270       92.86150
    2156.66113        2.63159        2.25350       98.72220
    2156.81372        2.67313        2.25900       96.13400
    2156.96606        2.60906        2.22680      110.06020
    2157.11841        2.59131        2.18840      110.32890
    2157.27075        2.55868        2.17010      109.34320
    2157.42310        2.52060        2.18130       92.63020
    2157.57568        2.48768        2.20470       91.93020
    2157.72803        2.47556        2.21310       94.61610
    2157.88037        2.50403        2.20440      100.51400
    2158.03271        2.55868        2.19440      104.66640
    2158.18530        2.68964        2.19070       99.13120
    2158.33765        2.67313        2.20690       97.75360
    2158.48999        2.58911        2.22530       83.52440
    2158.64233        2.56731        2.24280       84.06540
    2158.79492        2.49788        2.25630       87.28440
    2158.94727        2.46754        2.27540       87.00210
    2159.09961        2.46156        2.27800       85.87860
    2159.25195        2.49379        2.25180       85.42170
    2159.40430        2.44969        2.21590       87.79030
    2159.55688        2.38453        2.18610      102.73100
    2159.70923        2.35142        2.17020      104.52390
    2159.86157        2.37710        2.17260       93.79700
    2160.01392        2.51022        2.17710       89.90610
    2160.16650        2.70396        2.17930       96.48810
    2160.31885        2.80860        2.18170       92.94430
    2160.47119        2.82946        2.19180       90.96640
    2160.62354        2.68964        2.21010       83.85170
    2160.77588        2.68727        2.22640       79.77890
    2160.92847        2.65914        2.22950       81.35570
    2161.08081        2.67079        2.22950       78.47880
    2161.23315        2.66611        2.20990       87.24040
    2161.38550        2.72085        2.19550       88.48340
    2161.53809        2.69678        2.18500      101.10150
    2161.69043        2.69678        2.17650      103.63260
    2161.84277        2.68018        2.16060      107.76190
    2161.99512        2.47154        2.15290      107.37090
    2162.14771        2.49583        2.14530       95.37690
    2162.30005        2.54162        2.13240       84.96260
    2162.45239        2.59794        2.12870       87.06900
    2162.60474        2.59573        2.14470       85.33900
    2162.75708        2.63386        2.17000       78.54640
    2162.90967        2.64529        2.19570       75.52280
    2163.06201        2.67783        2.20340       68.52420
    2163.21436        2.74783        2.20570       66.61460
    2163.36670        2.86672        2.21250       67.55980
    2163.51929        2.86672        2.23050       68.96320
    2163.67163        2.83472        2.23910       67.29440
    2163.82397        2.88026        2.22560       68.96520
    2163.97632        2.78805        2.19990       69.27110
    2164.12891        2.67313        2.17530       76.13510
    2164.28125        2.61802        2.16320       80.34480
    2164.43359        2.60016        2.17340       98.07400
    2164.58594        2.60683        2.20140      102.55020
    2164.73828        2.61353        2.21390       94.36100
    2164.89087        2.56514        2.20040       94.75030
    2165.04321        2.58035        2.16540       91.43390
    2165.19556        2.55226        2.12370       93.89340
    2165.34790        2.55012        2.10420       96.70660
    2165.50049        2.46555        2.10020       97.08210
    2165.65283        2.45364        2.10670       97.78580
    2165.80518        2.49583        2.10690       92.46630
    2165.95752        2.53738        2.10490       86.58930
    2166.11011        2.61578        2.10730       84.23870
    2166.26245        2.62932        2.11680       83.67750
    2166.41479        2.62479        2.12270       92.01720
    2166.56714        2.62479        2.12300       95.89990
    2166.71948        2.58692        2.12260      102.69280
    2166.87207        2.56299        2.12600      101.94650
    2167.02441        2.58472        2.12800       99.82800
    2167.17676        2.60683        2.12540       99.84470
    2167.32910        2.66611        2.12290       90.09320
    2167.48169        2.64300        2.12490       82.36420
    2167.63403        2.61129        2.13030       78.63280
    2167.78638        2.56731        2.11900       78.69730
    2167.93872        2.66845        2.12010       82.63740
    2168.09131        2.73305        2.11570       80.05290
    2168.24365        2.81119        2.12620       80.28430
    2168.39600        2.86672        2.12760       79.31220
    2168.54834        2.67783        2.13180       92.61220
    2168.70068        2.58472        2.13130      100.46220
    2168.85327        2.51022        2.12970      101.55400
    2169.00562        2.44184        2.13580      100.89070
    2169.15796        2.38640        2.15490      104.81120
    2169.31030        2.34419        2.19080      105.52770
    2169.46289        2.26241        2.22760       98.92110
    2169.61523        2.24905        2.24240       90.89500
    2169.76758        2.27762        2.23500       81.21280
    2169.91992        2.26577        2.22120       77.88780
    2170.07251        2.39955        2.24060       68.08660
    2170.22485        2.48161        2.23400       69.14000
    2170.37720        2.52060        2.20370       72.23710
    2170.52954        2.51022        2.16320       82.55360
    2170.68188        2.44773        2.13720       81.92700
    2170.83447        2.40713        2.12900       84.41980
    2170.98682        2.36786        2.12460       92.03880
    2171.13916        2.36236        2.12260       93.89380
    2171.29150        2.35506        2.12060       92.86550
    2171.44409        2.36786        2.11780       89.11750
    2171.59644        2.33700        2.11790       86.66930
    2171.74878        2.40334        2.11050       85.84440
    2171.90112        2.41859        2.09670       86.61820
    2172.05371        2.43989        2.09000       87.87470
    2172.20605        2.42436        2.10490       90.84810
    2172.35840        2.44773        2.13230       92.53430
    2172.51074        2.50198        2.13070       93.23820
    2172.66309        2.65682        2.11440       93.95030
    2172.81567        2.58472        2.09790       87.93960
    2172.96802        2.49175        2.10370       85.22730
    2173.12036        2.55012        2.11480       79.18060
    2173.27271        2.49175        2.12860       78.74310
    2173.42529        2.53106        2.12710       76.01690
    2173.57764        2.49788        2.12770       77.84670
    2173.72998        2.46555        2.12510       71.96550
    2173.88232        2.43210        2.12920       76.64400
    2174.03491        2.47154        2.13840       73.27640
    2174.18726        2.49788        2.14960       71.55910
    2174.33960        2.52687        2.15160       71.39530
    2174.49194        2.55440        2.15610       76.56930
    2174.64429        2.58472        2.15480       73.95410
    2174.79688        2.61802        2.15420       74.96660
    2174.94922        2.61578        2.15290       73.41970
    2175.10156        2.62705        2.14700       74.27780
    2175.25391        2.63386        2.14460       72.78530
    2175.40649        2.63842        2.15150       74.56190
    2175.55884        2.64529        2.16650       72.72640
    2175.71118        2.67783        2.17840       78.52920
    2175.86353        2.63614        2.16650       73.57650
    2176.01611        2.64759        2.14240       74.45290
    2176.16846        2.63386        2.12420       72.10910
    2176.32080        2.63159        2.10840       70.38890
    2176.47314        2.62479        2.10130       70.11170
    2176.62549        2.61353        2.11790       70.34900
    2176.77808        2.62253        2.16180       68.63300
    2176.93042        2.62253        2.19190       77.49030
    2177.08276        2.61353        2.18130       74.68710
    2177.23511        2.59573        2.14820       89.84090
    2177.38770        2.59794        2.12060       92.33480
    2177.54004        2.58911        2.11510       96.05850
    2177.69238        2.58692        2.11220       96.18990
    2177.84473        2.58035        2.10230       89.77170
    2177.99731        2.62027        2.10310       88.07780
    2178.14966        2.63614        2.10370       88.87190
    2178.30200        2.66378        2.10810       88.25450
    2178.45435        2.71359        2.10710       81.16170
    2178.60669        2.70876        2.10990       78.40510
    2178.75928        2.74042        2.10320       77.45410
    2178.91162        2.73550        2.10510       73.82120
    2179.06396        2.72816        2.10210       74.61520
    2179.21631        2.71843        2.09610       72.09330
    2179.36890        2.71117        2.08310       72.45790
    2179.52124        2.70156        2.08860       71.06360
    2179.67358        2.69917        2.09850       70.46300
    2179.82593        2.69202        2.11170       73.57880
    2179.97852        2.68490        2.11770       70.57830
    2180.13086        2.66378        2.11930       70.55490
    2180.28320        2.64071        2.11280       70.55290
    2180.43555        2.63614        2.11250       69.12500
    2180.58789        2.63159        2.10140       68.44680
    2180.74048        2.62932        2.09880       68.33870
    2180.89282        2.61353        2.10160       70.32250
    2181.04517        2.62027        2.11440       69.21290
    2181.19751        2.62932        2.11630       66.42760
    2181.35010        2.63614        2.11890       71.44350
    2181.50244        2.65682        2.12280       70.74880
    2181.65479        2.68490        2.13080       68.51720
    2181.80713        2.68490        2.13630       68.21030
    2181.95972        2.68964        2.12940       71.99200
    2182.11206        2.70156        2.13830       71.24630
    2182.26440        2.74042        2.14190       70.47200
    2182.41675        2.74783        2.14450       72.97120
    2182.56909        2.75031        2.11120       75.88390
    2182.72168        2.75280        2.06780       68.01280
    2182.87402        2.77536        2.03960       70.04790
    2183.02637        2.78805        2.04530       73.45020
    2183.17871        2.80344        2.07890       74.83520
    2183.33130        2.73796        2.11360       72.02160
    2183.48364        2.75529        2.13390       74.96420
    2183.63599        2.80860        2.12340       78.45140
    2183.78833        2.84531        2.10490       75.45520
    2183.94092        2.86402        2.09320       76.51190
    2184.09326        2.84001        2.08860       74.47010
    2184.24561        2.81639        2.07870       77.40550
    2184.39795        2.76529        2.08040       79.46860
    2184.55029        2.73305        2.08640       85.49570
    2184.70288        2.63386        2.08470       92.59660
    2184.85522        2.54799        2.09730      100.59460
    2185.00757        2.48768        2.12400       99.54660
    2185.15991        2.44773        2.14270       97.01010
    2185.31250        2.49175        2.14450       79.53410
    2185.46484        2.53317        2.13720       67.46970
    2185.61719        2.60016        2.13920       68.18850
    2185.76953        2.60460        2.15320       71.36780
