%' Depth (m) '	      ' Vp'	    'Density'	'Gamma Ray'    
    2015.23401        2.33922        2.12990      109.13390
    2015.38635        2.34823        2.12880      104.73310
    2015.53882        2.35185        2.13220      105.31230
    2015.69116        2.34101        2.13730      103.49000
    2015.84363        2.35367        2.13610      106.08440
    2015.99597        2.34101        2.12890      106.10870
    2016.14844        2.33742        2.12970      106.49250
    2016.30078        2.39623        2.14640      106.72530
    2016.45325        2.41139        2.18180      105.78860
    2016.60559        2.38125        2.17670      103.46090
    2016.75806        2.33206        2.15030      106.06090
    2016.91040        2.38871        2.12640      109.89120
    2017.06274        2.40000        2.12090      107.09370
    2017.21521        2.38871        2.11860      107.01920
    2017.36755        2.43062        2.09960      108.90550
    2017.52002        2.36279        2.08360      107.48030
    2017.67236        2.37754        2.06150      104.12780
    2017.82483        2.38125        2.07780      103.99220
    2017.97717        2.38498        2.07550      107.35410
    2018.12964        2.35004        2.10330      109.86690
    2018.28198        2.39059        2.11210      109.87940
    2018.43445        2.35913        2.11310      105.85550
    2018.58679        2.36279        2.11870      106.90710
    2018.73926        2.36096        2.12920      108.62270
    2018.89160        2.32140        2.14400      105.43640
    2019.04395        2.33742        2.16390      108.87860
    2019.19641        2.30211        2.17610      105.82710
    2019.34875        2.27633        2.18160      102.21210
    2019.50122        2.32494        2.17910      103.56990
    2019.65356        2.32317        2.17580      102.00870
    2019.80603        2.32672        2.23000      104.19700
    2019.95837        2.30211        2.30550      104.85450
    2020.11084        2.35367        2.33420      104.70690
    2020.26318        2.35004        2.26570      105.21090
    2020.41565        2.39246        2.20850      105.11750
    2020.56799        2.38684        2.19970      107.60050
    2020.72046        2.32140        2.19200      108.28160
    2020.87280        2.32850        2.20450      108.07090
    2021.02515        2.32140        2.20090      107.31310
    2021.17761        2.20231        2.20610      110.18400
    2021.32996        2.22482        2.19140      102.83720
    2021.48242        2.30734        2.19730      110.10710
    2021.63477        2.30211        2.19550      111.88040
    2021.78723        2.32317        2.19190      112.65430
    2021.93958        2.30385        2.16910      110.21050
    2022.09204        2.21190        2.16230      110.65520
    2022.24438        2.14648        2.15060      113.02320
    2022.39685        2.40758        2.14840      106.64180
    2022.54919        2.37939        2.13920      104.01960
    2022.70166        2.33384        2.14910      101.85450
    2022.85400        2.36830        2.15570      105.46860
    2023.00635        2.17094        2.15270      105.34930
    2023.15881        2.18651        2.16430      107.72980
    2023.31116        2.37014        2.17620      107.69450
    2023.46362        2.40189        2.20150      108.20180
    2023.61597        2.34281        2.21540      108.40610
    2023.76843        2.33742        2.19730      108.53930
    2023.92078        2.31435        2.20700      106.02790
    2024.07324        2.31259        2.22950      109.73940
    2024.22559        2.30560        2.15100      108.49140
    2024.37805        2.32850        2.05920      102.02070
    2024.53040        2.33563        2.01600       99.12510
    2024.68274        2.29345        2.06370      101.17030
    2024.83521        2.31435        2.11460      103.13580
    2024.98755        2.29864        2.14380      104.62250
    2025.14001        2.28829        2.12660      107.91900
    2025.29236        2.31611        2.08150      100.83230
    2025.44482        2.30734        2.04400      107.56660
    2025.59717        2.30560        2.02960      101.22290
    2025.74963        2.27293        2.04710      108.01690
    2025.90198        2.21512        2.06800      110.24990
    2026.05444        2.22157        2.09690      103.63780
    2026.20679        2.23953        2.10630      104.62580
    2026.35925        2.27973        2.10310      103.79010
    2026.51160        2.27124        2.08660      106.26580
    2026.66394        2.26617        2.10850      106.52170
    2026.81641        2.27293        2.11540      108.77790
    2026.96875        2.28829        2.11760      105.91430
    2027.12122        2.26617        2.10640      105.39270
    2027.27356        2.30211        2.09080       99.48140
    2027.42603        2.31259        2.08040       99.53570
    2027.57837        2.31259        2.09710      102.26720
    2027.73083        2.38125        2.11560      100.38010
    2027.88318        2.46602        2.16400       99.68490
    2028.03564        2.59404        2.16300      100.36620
    2028.18799        2.56998        2.15130      102.23690
    2028.34045        2.53367        2.13580      106.27550
    2028.49280        2.45806        2.14700      104.43730
    2028.64514        2.31259        2.13840      104.96390
    2028.79761        2.29864        2.14530      106.95840
    2028.94995        2.29001        2.12640      105.67040
    2029.10242        2.27293        2.13710       98.80000
    2029.25476        2.27803        2.15410       97.40630
    2029.40723        2.34823        2.19310       98.71500
    2029.55957        2.36462        2.17010       97.35330
    2029.71204        2.37198        2.12910      103.28320
    2029.86438        2.38311        2.10410       99.53220
    2030.01685        2.34101        2.09440       97.60690
    2030.16919        2.39246        2.11180       93.55310
    2030.32166        2.36830        2.11770       96.48200
    2030.47400        2.36830        2.12530       96.38430
    2030.62634        2.36830        2.14660       99.07190
    2030.77881        2.28144        2.17380       97.46280
    2030.93115        2.25444        2.18080       97.36330
    2031.08362        2.27293        2.14360       94.60810
    2031.23596        2.30734        2.09340      105.43290
    2031.38843        2.32850        2.08590       99.43670
    2031.54077        2.39811        2.09910       99.38230
    2031.69324        2.41521        2.11650       99.86900
    2031.84558        2.42289        2.11950       99.80640
    2031.99805        2.38125        2.12290      101.22160
    2032.15039        2.37568        2.13850       95.73950
    2032.30286        2.35367        2.13650       93.77910
    2032.45520        2.34281        2.13200       95.13890
    2032.60754        2.31259        2.10400       96.05460
    2032.76001        2.28315        2.09540       94.43700
    2032.91235        2.25611        2.09120      101.48390
    2033.06482        2.27463        2.12350      104.41470
    2033.21716        2.26955        2.13640      108.25870
    2033.36963        2.31435        2.12310      112.54730
    2033.52197        2.36279        2.14070      114.28020
    2033.67444        2.40949        2.19370      116.94830
    2033.82678        2.39059        2.29040      100.16600
    2033.97925        2.40379        2.31000      101.98410
    2034.13159        2.38871        2.28380      100.23270
    2034.28406        2.33206        2.26820      100.44560
    2034.43640        2.33922        2.25860       97.75590
    2034.58875        2.36462        2.23540       96.14690
    2034.74121        2.32140        2.21390       97.46040
    2034.89355        2.32494        2.22080       97.73610
    2035.04602        2.33028        2.22600      101.45030
    2035.19836        2.27124        2.21210      100.01030
    2035.35083        2.27124        2.20490       99.39590
    2035.50317        2.34642        2.19490      100.60030
    2035.65564        2.30385        2.16090       98.35890
    2035.80798        2.27124        2.14290      101.24930
    2035.96045        2.27293        2.20150       98.61390
    2036.11279        2.29173        2.24780       98.62730
    2036.26526        2.34101        2.22400       99.65230
    2036.41760        2.34642        2.20260      100.10900
    2036.56995        2.32140        2.20640      101.55640
    2036.72241        2.33028        2.23940      100.46570
    2036.87476        2.30211        2.26210      100.79220
    2037.02722        2.24613        2.29580      105.10040
    2037.17957        2.29345        2.33180       97.76740
    2037.33203        2.35367        2.35390      100.09220
    2037.48438        2.33742        2.36920       93.30490
    2037.63684        2.35185        2.34220       98.89610
    2037.78918        2.36830        2.30510      101.58730
    2037.94165        2.30734        2.31190       98.48410
    2038.09399        2.30211        2.30940       96.51790
    2038.24646        2.34281        2.30760       98.68900
    2038.39880        2.31435        2.30630       98.24240
    2038.55115        2.31787        2.27480       99.67510
    2038.70361        2.31963        2.23240       97.38900
    2038.85596        2.27463        2.28740       98.29260
    2039.00842        2.29173        2.38250       96.69040
    2039.16077        2.27803        2.50070      101.86520
    2039.31323        2.26449        2.42620      102.60600
    2039.46558        2.25945        2.30420      101.24310
    2039.61804        2.31787        2.21190       97.25290
    2039.77039        2.31435        2.18590       99.90740
    2039.92285        2.30560        2.18780      101.97510
    2040.07520        2.29173        2.17880       99.51300
    2040.22754        2.23953        2.14810      100.11360
    2040.38000        2.24448        2.11810      101.82770
    2040.53235        2.24118        2.09300       99.16400
    2040.68481        2.15864        2.10370       98.69460
    2040.83716        2.21351        2.09820       92.20610
    2040.98962        2.27124        2.09060       94.88270
    2041.14197        2.27293        2.07930       94.59050
    2041.29443        2.28657        2.07580       94.71830
    2041.44678        2.23297        2.08380      105.51440
    2041.59924        2.33028        2.09550       99.78450
    2041.75159        2.46802        2.09400      101.88920
    2041.90405        2.63668        2.08410       99.48320
    2042.05640        2.58744        2.09630      102.24170
    2042.20874        2.68310        2.10610      104.64560
    2042.36121        2.44819        2.10350      110.81380
    2042.51355        2.30560        2.10650      122.33320
    2042.66602        2.46005        2.14300      126.62620
    2042.81836        2.49020        2.17410      122.81070
    2042.97083        2.53788        2.19080      121.65230
    2043.12317        2.69973        2.17070      120.97170
    2043.27563        3.00592        2.14770      116.98900
    2043.42798        3.07879        2.13290      118.88410
    2043.58044        2.83008        2.14550      123.30590
    2043.73279        2.96787        2.16440      131.65530
    2043.88525        2.80147        2.17290      128.95599
    2044.03760        3.08815        2.14940      127.19040
    2044.18994        3.53596        2.11860      110.77690
    2044.34241        3.82915        2.08970      108.63650
    2044.49475        3.14876        2.10210      116.57590
    2044.64722        3.26338        2.13930      137.42250
    2044.79956        2.72630        2.14260      152.43590
    2044.95203        2.46204        2.11340      169.82230
    2045.10437        2.49223        2.14840      171.74400
    2045.25684        2.51901        2.19510      173.17880
    2045.40918        2.59184        2.18440      166.10960
    2045.56165        2.58524        2.11950      158.42670
    2045.71399        3.00888        2.13490      157.16400
    2045.86646        3.20168        2.19410      153.73531
    2046.01880        3.19162        2.23850      151.21010
    2046.17114        3.04800        2.24800      153.96370
    2046.32361        3.14876        2.27690      157.77190
    2046.47595        2.68074        2.29820      162.28979
    2046.62842        2.69258        2.29670      170.72279
    2046.78076        2.66667        2.28170      167.49750
    2046.93323        2.57215        2.26760      137.75591
    2047.08557        3.22881        2.27540      116.94980
    2047.23804        3.48343        2.26240       97.03800
    2047.39038        3.46758        2.22040      100.29630
    2047.54285        3.25989        2.19350      106.89410
    2047.69519        2.79377        2.19740      115.02410
    2047.84766        2.43645        2.21440      121.98480
    2048.00000        2.43840        2.21420      130.73630
    2048.15234        2.42289        2.20960      124.14570
    2048.30469        2.23133        2.22580      131.84019
    2048.45728        2.29518        2.23190      122.87600
    2048.60962        2.32672        2.22550      126.72420
    2048.76196        2.30211        2.22750      118.02410
    2048.91431        2.50246        2.22500      116.87810
    2049.06689        2.01188        2.19820      119.40910
    2049.21924        2.09629        2.07200      121.31900
    2049.37158        2.16631        1.95650      125.02470
    2049.52393        2.18808        1.93140      121.70970
    2049.67651        2.19597        2.01040      114.90460
    2049.82886        2.19438        2.12820      112.54830
    2049.98120        2.20550        2.21270      111.77620
    2050.13354        2.24283        2.24330      107.63650
    2050.28589        2.22644        2.24330      107.60780
    2050.43848        2.20550        2.22980      104.80060
    2050.59082        2.20710        2.23290      108.58110
    2050.74316        2.24118        2.23990      105.12140
    2050.89551        2.30909        2.24400       94.03560
    2051.04810        2.40758        2.24730       94.17590
    2051.20044        2.36646        2.25920       97.49880
    2051.35278        2.36830        2.27550      100.89330
    2051.50513        2.26617        2.28140      103.79530
    2051.65771        2.28486        2.26790      102.81610
    2051.81006        2.31787        2.25070      101.50720
    2051.96240        2.32850        2.24590       97.33680
    2052.11475        2.27973        2.25170      103.28980
    2052.26709        2.24945        2.25560       97.91900
    2052.41968        2.26281        2.23890      100.53650
    2052.57202        2.29001        2.22950      100.08010
    2052.72437        2.28657        2.24420      104.24200
    2052.87671        2.20231        2.27140      103.75500
    2053.02930        2.43450        2.29010       96.41350
    2053.18164        2.59404        2.27820       96.70580
    2053.33398        2.70693        2.25460       78.96160
    2053.48633        2.66434        2.25780       82.11440
    2053.63892        2.54637        2.26510       91.44020
    2053.79126        2.30038        2.28030      107.74150
    2053.94360        2.24613        2.27000      110.73350
    2054.09595        2.31259        2.26600       97.31840
    2054.24829        2.29691        2.26450       97.14490
    2054.40088        2.39434        2.28250       97.71910
    2054.55322        2.37754        2.28800       97.09120
    2054.70557        2.43450        2.28440       98.24500
    2054.85791        2.51901        2.26830       99.77990
    2055.01050        2.48816        2.26550      105.19900
    2055.16284        2.44035        2.25230      106.50520
    2055.31519        2.54424        2.25820      102.24330
    2055.46753        2.54849        2.26450       99.04690
    2055.62012        2.53788        2.26730       97.08710
    2055.77246        2.53577        2.27630       94.15750
    2055.92480        2.57868        2.27600       92.55550
    2056.07715        2.58524        2.28650       92.07730
    2056.22949        2.49836        2.28710       91.61020
    2056.38208        2.49223        2.29790       91.63900
    2056.53442        2.47002        2.29450      100.00200
    2056.68677        2.47202        2.28410      102.69140
    2056.83911        2.46802        2.28420      101.70680
    2056.99170        2.46403        2.29180       95.87780
    2057.14404        2.41139        2.29470       97.30190
    2057.29639        2.37568        2.27960       95.34570
    2057.44873        2.30734        2.27320       95.95790
    2057.60132        2.30560        2.27590       96.70340
    2057.75366        2.27293        2.29250       97.71900
    2057.90601        2.37198        2.29600       96.90070
    2058.05835        2.43062        2.30030       98.12360
    2058.21069        2.45213        2.30750       94.33370
    2058.36328        2.46403        2.30830       91.45430
    2058.51562        2.42675        2.28990       92.05950
    2058.66797        2.36462        2.27370       95.51330
    2058.82031        2.36646        2.29400       91.74850
    2058.97290        2.36279        2.32280       91.24210
    2059.12524        2.35731        2.33220       91.36260
    2059.27759        2.40379        2.33900       88.92970
    2059.42993        2.42097        2.34130       90.53050
    2059.58252        2.46602        2.35370       89.87730
    2059.73486        2.41905        2.37230       91.00210
    2059.88721        2.38871        2.36740       85.81380
    2060.03955        2.39434        2.34240       85.36750
    2060.19189        2.38871        2.31840       85.86530
    2060.34448        2.38684        2.31700       89.07670
    2060.49683        2.36830        2.31770       88.83110
    2060.64917        2.34462        2.31340       85.53150
    2060.80151        2.37198        2.30470       83.27480
    2060.95410        2.39811        2.30280       83.71410
    2061.10645        2.39246        2.30830       83.97770
    2061.25879        2.38684        2.31450       87.76780
    2061.41113        2.36646        2.31160       90.38480
    2061.56372        2.34642        2.31120       88.42680
    2061.71606        2.34823        2.31880       91.68790
    2061.86841        2.40758        2.32770       93.94450
    2062.02075        2.39811        2.33530       88.67410
    2062.17310        2.38311        2.33850       84.81900
    2062.32568        2.40189        2.33300       85.36260
    2062.47803        2.40189        2.32080       89.22410
    2062.63037        2.35731        2.31330       87.77770
    2062.78271        2.35367        2.31710       86.04910
    2062.93530        2.35913        2.33350       91.65750
    2063.08765        2.33563        2.33900       91.73120
    2063.23999        2.35549        2.34340       91.92020
    2063.39233        2.35913        2.34750       91.83900
    2063.54492        2.35004        2.34780       90.02020
    2063.69727        2.39246        2.35740       90.60120
    2063.84961        2.43062        2.35720       91.24620
    2064.00195        2.45411        2.35500       94.70320
    2064.15430        2.47202        2.34210       96.48280
    2064.30688        2.45016        2.34200       90.72570
    2064.45923        2.46005        2.36130       92.79170
    2064.61157        2.45806        2.37580       90.99790
    2064.76392        2.45016        2.36410       91.91930
    2064.91650        2.46403        2.35260       84.58260
    2065.06885        2.46802        2.34960       84.28740
    2065.22119        2.47002        2.34680       86.68150
    2065.37354        2.46802        2.35890       98.39050
    2065.52588        2.46602        2.36540      100.02200
    2065.67847        2.46602        2.36860      103.38610
    2065.83081        2.48006        2.36920      102.76750
    2065.98315        2.48006        2.36150      105.37490
    2066.13550        2.48613        2.36950       89.46440
    2066.28809        2.55919        2.37280       87.52340
