%  'Depth (m)'	   ' t_p'  		' t_s'		'GR'		'rho' 
   2.1104353e+03   1.3162600e+02   3.6381100e+02   9.5040000e+01   2.2800000e+00
   2.1105876e+03   1.3071700e+02   3.6137400e+02   9.2652000e+01   2.2820000e+00
   2.1107400e+03   1.3018000e+02   3.6042500e+02   8.8649000e+01   2.2810000e+00
   2.1108923e+03   1.2943400e+02   3.5597200e+02   8.6568000e+01   2.2750000e+00
   2.1110449e+03   1.2880300e+02   3.5295100e+02   8.6870000e+01   2.2680000e+00
   2.1111973e+03   1.2846900e+02   3.4857400e+02   8.5858000e+01   2.2660000e+00
   2.1113496e+03   1.2843200e+02   3.4631900e+02   8.4586000e+01   2.2660000e+00
   2.1115020e+03   1.2852500e+02   3.4526200e+02   8.6855000e+01   2.2590000e+00
   2.1116545e+03   1.2858300e+02   3.4489300e+02   8.9541000e+01   2.2520000e+00
   2.1118069e+03   1.2860800e+02   3.4125400e+02   8.9785000e+01   2.2550000e+00
   2.1119592e+03   1.2860000e+02   3.3702600e+02   8.8507000e+01   2.2640000e+00
   2.1121116e+03   1.2856100e+02   3.3564400e+02   8.6779000e+01   2.2730000e+00
   2.1122639e+03   1.2850200e+02   3.4123000e+02   8.7427000e+01   2.2810000e+00
   2.1124165e+03   1.2847600e+02   3.4866100e+02   9.1063000e+01   2.2860000e+00
   2.1125688e+03   1.2852200e+02   3.5199300e+02   9.5644000e+01   2.2850000e+00
   2.1127212e+03   1.2863100e+02   3.5342900e+02   1.0155800e+02   2.2870000e+00
   2.1128735e+03   1.2872900e+02   3.5284700e+02   1.0535600e+02   2.2890000e+00
   2.1130261e+03   1.2896000e+02   3.5285200e+02   1.0457800e+02   2.2830000e+00
   2.1131785e+03   1.2924000e+02   3.5109800e+02   1.0359200e+02   2.2800000e+00
   2.1133308e+03   1.2971400e+02   3.4764300e+02   1.0108400e+02   2.2880000e+00
   2.1134832e+03   1.2948900e+02   3.4251600e+02   9.8652000e+01   2.2980000e+00
   2.1136357e+03   1.2902900e+02   3.3933000e+02   9.8189000e+01   2.2990000e+00
   2.1137881e+03   1.2866100e+02   3.3695200e+02   9.5888000e+01   2.2960000e+00
   2.1139404e+03   1.2849500e+02   3.3869800e+02   9.4123000e+01   2.2990000e+00
   2.1140928e+03   1.2839700e+02   3.4073600e+02   9.1449000e+01   2.3030000e+00
   2.1142451e+03   1.2800900e+02   3.4147200e+02   8.7303000e+01   2.2950000e+00
   2.1143977e+03   1.2731200e+02   3.3963100e+02   8.5990000e+01   2.2780000e+00
   2.1145500e+03   1.2614700e+02   3.3685800e+02   8.5486000e+01   2.2720000e+00
   2.1147024e+03   1.2525600e+02   3.3340600e+02   8.4232000e+01   2.2760000e+00
   2.1148547e+03   1.2485900e+02   3.3000400e+02   8.3100000e+01   2.2820000e+00
   2.1150073e+03   1.2479800e+02   3.2862500e+02   8.2917000e+01   2.2820000e+00
   2.1151597e+03   1.2501500e+02   3.2975900e+02   8.5628000e+01   2.2770000e+00
   2.1153120e+03   1.2547400e+02   3.3244800e+02   8.7572000e+01   2.2830000e+00
   2.1154644e+03   1.2653600e+02   3.3469200e+02   8.6027000e+01   2.3070000e+00
   2.1156169e+03   1.2754000e+02   3.3758900e+02   8.5129000e+01   2.3220000e+00
   2.1157693e+03   1.2806800e+02   3.4224900e+02   8.5052000e+01   2.3110000e+00
   2.1159216e+03   1.2821500e+02   3.4684800e+02   8.4553000e+01   2.2910000e+00
   2.1160740e+03   1.2824000e+02   3.4796900e+02   8.4183000e+01   2.2710000e+00
   2.1162263e+03   1.2827200e+02   3.4589000e+02   8.6964000e+01   2.2590000e+00
   2.1163789e+03   1.2825800e+02   3.4300500e+02   9.0967000e+01   2.2540000e+00
   2.1165312e+03   1.2828800e+02   3.4112300e+02   9.1566000e+01   2.2580000e+00
   2.1166836e+03   1.2844700e+02   3.4279600e+02   8.9138000e+01   2.2740000e+00
   2.1168359e+03   1.2875400e+02   3.4730800e+02   8.6853000e+01   2.2930000e+00
   2.1169885e+03   1.2896900e+02   3.5240000e+02   8.6029000e+01   2.2960000e+00
   2.1171409e+03   1.2899200e+02   3.5516200e+02   8.3951000e+01   2.2810000e+00
   2.1172932e+03   1.2885900e+02   3.5460500e+02   8.2478000e+01   2.2640000e+00
   2.1174456e+03   1.2871700e+02   3.4988900e+02   8.3259000e+01   2.2570000e+00
   2.1175981e+03   1.2862800e+02   3.4303000e+02   8.3700000e+01   2.2610000e+00
   2.1177505e+03   1.2854400e+02   3.3898000e+02   8.6596000e+01   2.2630000e+00
   2.1179028e+03   1.2848300e+02   3.4109100e+02   9.3158000e+01   2.2590000e+00
   2.1180552e+03   1.2822200e+02   3.4428900e+02   9.7400000e+01   2.2510000e+00
   2.1182075e+03   1.2790300e+02   3.4783100e+02   9.4760000e+01   2.2440000e+00
   2.1183601e+03   1.2712800e+02   3.4791100e+02   8.8318000e+01   2.2440000e+00
   2.1185125e+03   1.2727800e+02   3.4665100e+02   8.3235000e+01   2.2410000e+00
   2.1186648e+03   1.2779300e+02   3.4508300e+02   8.1292000e+01   2.2350000e+00
   2.1188171e+03   1.2944500e+02   3.4610300e+02   8.2879000e+01   2.2380000e+00
   2.1189697e+03   1.3090100e+02   3.4702700e+02   8.6783000e+01   2.2480000e+00
   2.1191221e+03   1.3149300e+02   3.4783500e+02   8.9313000e+01   2.2480000e+00
   2.1192744e+03   1.3124200e+02   3.4717700e+02   8.8100000e+01   2.2410000e+00
   2.1194268e+03   1.3023900e+02   3.5017600e+02   9.0210000e+01   2.2440000e+00
   2.1195793e+03   1.2934100e+02   3.5293500e+02   9.4962000e+01   2.2570000e+00
