%  'Depth (m)'	   ' t_p'  		' t_s'		'GR'		'rho' 
   2.1457920e+03   1.2993700e+02   3.6608800e+02   8.6724000e+01   2.1090000e+00
   2.1459443e+03   1.3064200e+02   3.6666800e+02   8.8124000e+01   2.0770000e+00
   2.1460969e+03   1.3127700e+02   3.6629500e+02   8.8589000e+01   2.0380000e+00
   2.1462493e+03   1.3158500e+02   3.6538200e+02   8.5951000e+01   2.0180000e+00
   2.1464016e+03   1.3176500e+02   3.6767000e+02   8.4382000e+01   2.0050000e+00
   2.1465540e+03   1.3222200e+02   3.7416700e+02   8.4503000e+01   2.0140000e+00
   2.1467065e+03   1.3292300e+02   3.8305400e+02   8.4896000e+01   2.0790000e+00
   2.1468589e+03   1.3408800e+02   3.8939700e+02   8.5497000e+01   2.1570000e+00
   2.1470112e+03   1.3484900e+02   3.9588300e+02   8.6489000e+01   2.1710000e+00
   2.1471636e+03   1.3477100e+02   3.9316200e+02   8.6744000e+01   2.1080000e+00
   2.1473159e+03   1.3397800e+02   3.9303000e+02   8.7075000e+01   2.0680000e+00
   2.1474685e+03   1.3327100e+02   3.8269900e+02   8.9198000e+01   2.1100000e+00
   2.1476208e+03   1.3279000e+02   3.8415600e+02   9.0664000e+01   2.1540000e+00
   2.1477732e+03   1.3250200e+02   3.8079800e+02   8.9891000e+01   2.1550000e+00
   2.1479255e+03   1.3218200e+02   3.8189800e+02   8.8991000e+01   2.1390000e+00
   2.1480781e+03   1.3186600e+02   3.8819100e+02   8.9351000e+01   2.1190000e+00
   2.1482305e+03   1.3152900e+02   3.9736800e+02   9.0008000e+01   2.0900000e+00
   2.1483828e+03   1.3131000e+02   4.1043600e+02   9.1894000e+01   2.0820000e+00
   2.1485352e+03   1.3100800e+02   4.2431600e+02   9.5840000e+01   2.1200000e+00
   2.1486877e+03   1.3135000e+02   4.3168800e+02   9.7418000e+01   2.1810000e+00
   2.1488401e+03   1.3208600e+02   4.3318800e+02   9.6059000e+01   2.2210000e+00
   2.1489924e+03   1.3283600e+02   4.3729400e+02   9.3366000e+01   2.2200000e+00
   2.1491448e+03   1.3356700e+02   4.3512700e+02   8.8210000e+01   2.2010000e+00
   2.1492971e+03   1.3338700e+02   4.3017600e+02   8.3226000e+01   2.1900000e+00
   2.1494497e+03   1.3260900e+02   4.2153400e+02   8.3661000e+01   2.1800000e+00
   2.1496021e+03   1.3186200e+02   4.1284100e+02   8.6630000e+01   2.1840000e+00
   2.1497544e+03   1.3128500e+02   4.0660900e+02   8.6471000e+01   2.2020000e+00
   2.1499067e+03   1.3160400e+02   4.0048200e+02   8.6290000e+01   2.2080000e+00
   2.1500593e+03   1.3220500e+02   3.9700800e+02   8.9010000e+01   2.1750000e+00
   2.1502117e+03   1.3257100e+02   3.9630200e+02   8.9674000e+01   2.1150000e+00
   2.1503640e+03   1.3264600e+02   3.9786300e+02   8.5361000e+01   2.0900000e+00
   2.1505164e+03   1.3249400e+02   3.9915400e+02   8.1754000e+01   2.1380000e+00
   2.1506689e+03   1.3236100e+02   4.0817300e+02   8.4968000e+01   2.2120000e+00
   2.1508213e+03   1.3237800e+02   4.1580900e+02   8.9650000e+01   2.2650000e+00
   2.1509736e+03   1.3253400e+02   4.2225900e+02   9.0094000e+01   2.2950000e+00
   2.1511260e+03   1.3269500e+02   4.1702100e+02   8.9589000e+01   2.3010000e+00
   2.1512783e+03   1.3274000e+02   4.1090100e+02   8.9692000e+01   2.2880000e+00
   2.1514309e+03   1.3245500e+02   4.0504700e+02   9.0345000e+01   2.2830000e+00
   2.1515833e+03   1.3177000e+02   3.9789400e+02   9.0499000e+01   2.3000000e+00
   2.1517356e+03   1.3043800e+02   3.8142700e+02   8.9225000e+01   2.3220000e+00
   2.1518879e+03   1.2932400e+02   3.7205700e+02   8.8130000e+01   2.3200000e+00
   2.1520405e+03   1.2886500e+02   3.6306500e+02   8.8765000e+01   2.2850000e+00
   2.1521929e+03   1.2882000e+02   3.6910000e+02   8.9972000e+01   2.2290000e+00
   2.1523452e+03   1.2894700e+02   3.6700300e+02   8.7125000e+01   2.1950000e+00
   2.1524976e+03   1.2909700e+02   3.6456500e+02   8.3149000e+01   2.2040000e+00
   2.1526501e+03   1.2919300e+02   3.6199800e+02   8.4737000e+01   2.2180000e+00
   2.1528025e+03   1.2925200e+02   3.6352600e+02   8.8724000e+01   2.2450000e+00
   2.1529548e+03   1.2923600e+02   3.7044200e+02   8.8939000e+01   2.3400000e+00
   2.1531072e+03   1.2926100e+02   3.7614500e+02   8.5618000e+01   2.4430000e+00
   2.1532595e+03   1.2930200e+02   3.7684000e+02   8.2506000e+01   2.4510000e+00
   2.1534121e+03   1.2930000e+02   3.7488700e+02   8.3471000e+01   2.3710000e+00
   2.1535645e+03   1.2891200e+02   3.7012100e+02   8.7663000e+01   2.2560000e+00
   2.1537168e+03   1.2809200e+02   3.6520100e+02   9.0306000e+01   2.1580000e+00
   2.1538691e+03   1.2673900e+02   3.5947400e+02   9.0459000e+01   2.0950000e+00
   2.1540217e+03   1.2559200e+02   3.5208700e+02   8.9353000e+01   2.0420000e+00
   2.1541741e+03   1.2511000e+02   3.4603300e+02   8.9801000e+01   2.0030000e+00
   2.1543264e+03   1.2561800e+02   3.4856600e+02   9.0620000e+01   1.9830000e+00
   2.1544788e+03   1.2698300e+02   3.6014700e+02   9.3434000e+01   1.9930000e+00
   2.1546313e+03   1.2860300e+02   3.7317600e+02   9.6551000e+01   2.0390000e+00
   2.1547837e+03   1.3011400e+02   3.8285000e+02   9.4290000e+01   2.0610000e+00
   2.1549360e+03   1.3173200e+02   3.8650000e+02   9.2276000e+01   2.0470000e+00
   2.1550884e+03   1.3228700e+02   3.8464400e+02   9.2142000e+01   2.0250000e+00
   2.1552407e+03   1.3182300e+02   3.8325400e+02   9.1477000e+01   2.0020000e+00
   2.1553933e+03   1.3080000e+02   3.8790900e+02   9.3211000e+01   1.9890000e+00
   2.1555457e+03   1.2957700e+02   3.8660800e+02   9.3181000e+01   2.0030000e+00
   2.1556980e+03   1.2878600e+02   3.8146200e+02   8.9582000e+01   2.0250000e+00
   2.1558503e+03   1.2865400e+02   3.7522300e+02   8.8936000e+01   2.0380000e+00
   2.1560029e+03   1.2909000e+02   3.7576600e+02   9.0160000e+01   2.0600000e+00
   2.1561553e+03   1.3012600e+02   3.7304900e+02   8.8743000e+01   2.0960000e+00
   2.1563076e+03   1.3089700e+02   3.6885700e+02   8.3715000e+01   2.1160000e+00
   2.1564600e+03   1.3092800e+02   3.6457100e+02   7.8005000e+01   2.0900000e+00
   2.1566123e+03   1.3020800e+02   3.6638000e+02   7.5349000e+01   2.0040000e+00
   2.1567649e+03   1.2944900e+02   3.6748300e+02   7.5478000e+01   1.9260000e+00
   2.1569172e+03   1.2849100e+02   3.6871900e+02   7.7422000e+01   1.9590000e+00
   2.1570696e+03   1.2747200e+02   3.6913800e+02   7.9350000e+01   2.0800000e+00
   2.1572219e+03   1.2602800e+02   3.6572200e+02   7.8232000e+01   2.1550000e+00
   2.1573745e+03   1.2510000e+02   3.6482700e+02   7.8955000e+01   2.1600000e+00
   2.1575269e+03   1.2527200e+02   3.6269000e+02   8.6884000e+01   2.1610000e+00
   2.1576792e+03   1.2656100e+02   3.5994800e+02   9.5306000e+01   2.1700000e+00
   2.1578315e+03   1.2817200e+02   3.5791600e+02   9.5859000e+01   2.1760000e+00
   2.1579841e+03   1.2808300e+02   3.5605600e+02   9.0029000e+01   2.1510000e+00
   2.1581365e+03   1.2738800e+02   3.5096800e+02   8.5764000e+01   2.0760000e+00
   2.1582888e+03   1.2619400e+02   3.4590100e+02   8.9289000e+01   1.9870000e+00
   2.1584412e+03   1.2492000e+02   3.4110000e+02   9.1875000e+01   1.9170000e+00
   2.1585935e+03   1.2391000e+02   3.4398400e+02   8.5372000e+01   1.8720000e+00
   2.1587461e+03   1.2328100e+02   3.4945000e+02   8.0284000e+01   1.8830000e+00
   2.1588984e+03   1.2300900e+02   3.5356200e+02   7.9791000e+01   1.9810000e+00
   2.1590508e+03   1.2343700e+02   3.6118700e+02   8.0183000e+01   2.1410000e+00
   2.1592031e+03   1.2467400e+02   3.6202300e+02   8.0298000e+01   2.2610000e+00
   2.1593557e+03   1.2683900e+02   3.5947300e+02   8.0588000e+01   2.2050000e+00
   2.1595081e+03   1.2906300e+02   3.5191400e+02   8.1557000e+01   1.9580000e+00
   2.1596604e+03   1.2976200e+02   3.4757200e+02   7.9515000e+01   1.7310000e+00
   2.1598127e+03   1.2852400e+02   3.4128200e+02   7.6846000e+01   1.6800000e+00
   2.1599653e+03   1.2595300e+02   3.3963600e+02   7.8828000e+01   1.7320000e+00
   2.1601177e+03   1.2403300e+02   3.4216800e+02   8.0987000e+01   1.7810000e+00
   2.1602700e+03   1.2325300e+02   3.4800300e+02   8.1397000e+01   1.8180000e+00
   2.1604224e+03   1.2320400e+02   3.6428200e+02   8.2678000e+01   1.8550000e+00
   2.1605747e+03   1.2337700e+02   3.7047300e+02   8.3291000e+01   1.8840000e+00
   2.1607273e+03   1.2380100e+02   3.6418800e+02   8.1620000e+01   1.9400000e+00
   2.1608796e+03   1.2459500e+02   3.4424800e+02   8.0078000e+01   2.0230000e+00
   2.1610320e+03   1.2618000e+02   3.3608100e+02   7.8066000e+01   2.0660000e+00
   2.1611843e+03   1.2755200e+02   3.3885100e+02   7.6624000e+01   2.0650000e+00
   2.1613369e+03   1.2851200e+02   3.5117900e+02   8.0955000e+01   2.0920000e+00
   2.1614893e+03   1.2812000e+02   3.5759800e+02   8.4607000e+01   2.1450000e+00
   2.1616416e+03   1.2720300e+02   3.5245600e+02   8.2075000e+01   2.1580000e+00
   2.1617939e+03   1.2592500e+02   3.4834400e+02   7.7451000e+01   2.1570000e+00
   2.1619465e+03   1.2520300e+02   3.5098800e+02   7.4598000e+01   2.2210000e+00
   2.1620989e+03   1.2422500e+02   3.5502800e+02   7.6301000e+01   2.3020000e+00
   2.1622512e+03   1.2344000e+02   3.4953500e+02   7.9566000e+01   2.3150000e+00
   2.1624036e+03   1.2305900e+02   3.4781600e+02   8.0367000e+01   2.2760000e+00
   2.1625559e+03   1.2294100e+02   3.4479300e+02   8.0255000e+01   2.2420000e+00
   2.1627085e+03   1.2294300e+02   3.4309200e+02   7.9407000e+01   2.2530000e+00
   2.1628608e+03   1.2275800e+02   3.3448800e+02   8.0101000e+01   2.2950000e+00
   2.1630132e+03   1.2259000e+02   3.2476100e+02   8.1329000e+01   2.3240000e+00
   2.1631655e+03   1.2252500e+02   3.1681600e+02   8.2815000e+01   2.3270000e+00
   2.1633181e+03   1.2255100e+02   3.1406100e+02   8.4808000e+01   2.3160000e+00
   2.1634705e+03   1.2261400e+02   3.1334100e+02   8.3832000e+01   2.2870000e+00
   2.1636228e+03   1.2267800e+02   3.1648600e+02   8.1057000e+01   2.1990000e+00
   2.1637751e+03   1.2274100e+02   3.1425000e+02   7.8872000e+01   2.0810000e+00
   2.1639277e+03   1.2280400e+02   3.1235200e+02   7.7149000e+01   2.0280000e+00
   2.1640801e+03   1.2286800e+02   3.1084500e+02   7.6242000e+01   2.0370000e+00
   2.1642324e+03   1.2319500e+02   3.1660800e+02   7.6866000e+01   2.0470000e+00
   2.1643848e+03   1.2392200e+02   3.2945600e+02   7.9220000e+01   2.0270000e+00
   2.1645371e+03   1.2527600e+02   3.4418200e+02   7.9782000e+01   1.9940000e+00
   2.1646897e+03   1.2634900e+02   3.4527500e+02   7.6238000e+01   1.9780000e+00
   2.1648420e+03   1.2688600e+02   3.3927300e+02   7.3558000e+01   1.9740000e+00
   2.1649944e+03   1.2711900e+02   3.3422300e+02   7.3892000e+01   1.9780000e+00
   2.1651467e+03   1.2706100e+02   3.3588600e+02   7.2919000e+01   1.9970000e+00
   2.1652993e+03   1.2645700e+02   3.4206900e+02   7.1038000e+01   2.0230000e+00
   2.1654517e+03   1.2539500e+02   3.4264800e+02   7.2338000e+01   2.0200000e+00
   2.1656040e+03   1.2468500e+02   3.3852200e+02   7.4145000e+01   1.9850000e+00
   2.1657563e+03   1.2455600e+02   3.4176000e+02   7.3074000e+01   1.9700000e+00
   2.1659089e+03   1.2474500e+02   3.5049600e+02   7.3336000e+01   1.9540000e+00
   2.1660613e+03   1.2351400e+02   3.5117300e+02   7.7442000e+01   1.8610000e+00
   2.1662136e+03   1.2279200e+02   3.4438100e+02   8.1026000e+01   1.7530000e+00
   2.1663660e+03   1.2288600e+02   3.3788600e+02   7.9173000e+01   1.7370000e+00
   2.1665183e+03   1.2308400e+02   3.3384100e+02   7.3996000e+01   1.7660000e+00
   2.1666709e+03   1.2336500e+02   3.3388000e+02   7.1745000e+01   1.7640000e+00
   2.1668232e+03   1.2387100e+02   3.3324500e+02   7.3326000e+01   1.7810000e+00
   2.1669756e+03   1.2470300e+02   3.3364200e+02   7.6534000e+01   1.8520000e+00
   2.1671279e+03   1.2589700e+02   3.4101900e+02   7.8892000e+01   1.9080000e+00
   2.1672805e+03   1.2681800e+02   3.4233900e+02   7.8545000e+01   1.9360000e+00
   2.1674329e+03   1.2719200e+02   3.3835100e+02   7.8955000e+01   1.9770000e+00
   2.1675852e+03   1.2744600e+02   3.3702000e+02   8.0448000e+01   2.0190000e+00
   2.1677375e+03   1.2791700e+02   3.4387400e+02   8.0211000e+01   2.0320000e+00
   2.1678901e+03   1.2903700e+02   3.5905600e+02   8.0618000e+01   2.0260000e+00
   2.1680425e+03   1.3012500e+02   3.6115500e+02   8.2863000e+01   2.0180000e+00
   2.1681948e+03   1.3023000e+02   3.6028900e+02   8.5158000e+01   1.9920000e+00
   2.1683472e+03   1.2971900e+02   3.6042600e+02   8.4677000e+01   1.9270000e+00
   2.1684995e+03   1.2962800e+02   3.6242700e+02   8.1604000e+01   1.8360000e+00
   2.1686521e+03   1.3364200e+02   3.5436700e+02   8.0608000e+01   1.7670000e+00
   2.1688044e+03   1.4116500e+02   3.4467700e+02   8.0037000e+01   1.7530000e+00
   2.1689568e+03   1.4972100e+02   3.3858100e+02   7.7553000e+01   1.7840000e+00
   2.1691091e+03   1.5373600e+02   3.3810200e+02   7.9757000e+01   1.7790000e+00
   2.1692617e+03   1.5147400e+02   3.3996500e+02   8.4869000e+01   1.7170000e+00
   2.1694141e+03   1.4063000e+02   3.3699700e+02   8.2695000e+01   1.6920000e+00
   2.1695664e+03   1.2894100e+02   3.3120500e+02   7.9200000e+01   1.7130000e+00
   2.1697188e+03   1.2501600e+02   3.3508400e+02   7.8509000e+01   1.7150000e+00
   2.1698713e+03   1.2375600e+02   3.4307700e+02   7.6693000e+01   1.7190000e+00
   2.1700237e+03   1.2092400e+02   3.5068100e+02   7.4616000e+01   1.7870000e+00
   2.1701760e+03   1.1779900e+02   3.4904200e+02   7.3720000e+01   1.9220000e+00
   2.1703284e+03   1.1449500e+02   3.3931500e+02   7.3954000e+01   2.0550000e+00
   2.1704807e+03   1.1235600e+02   3.2446700e+02   7.4252000e+01   2.1410000e+00
   2.1706333e+03   1.1275100e+02   3.0718800e+02   7.7256000e+01   2.2050000e+00
   2.1707856e+03   1.1542100e+02   2.9948300e+02   8.0749000e+01   2.2610000e+00
   2.1709380e+03   1.1927400e+02   2.9990300e+02   8.1841000e+01   2.2760000e+00
   2.1710903e+03   1.2282100e+02   3.0494100e+02   8.1740000e+01   2.2440000e+00
   2.1712429e+03   1.2697200e+02   3.0076900e+02   7.8826000e+01   2.1990000e+00
   2.1713953e+03   1.3147200e+02   2.9623900e+02   7.8100000e+01   2.1700000e+00
   2.1715476e+03   1.3517900e+02   2.8808400e+02   8.0136000e+01   2.1770000e+00
   2.1717000e+03   1.3578500e+02   2.8783400e+02   8.1014000e+01   2.2050000e+00
   2.1718525e+03   1.3157700e+02   2.8159900e+02   8.2962000e+01   2.2150000e+00
   2.1720049e+03   1.2413700e+02   2.7066900e+02   8.0513000e+01   2.2030000e+00
   2.1721572e+03   1.1548200e+02   2.5992300e+02   7.5045000e+01   2.1890000e+00
   2.1723096e+03   1.1039400e+02   2.4728800e+02   7.2582000e+01   2.1760000e+00
   2.1724619e+03   1.0864200e+02   2.3781700e+02   7.0448000e+01   2.1580000e+00
   2.1726145e+03   1.0875800e+02   2.3175700e+02   6.4040000e+01   2.1370000e+00
   2.1727668e+03   1.0969200e+02   2.3398400e+02   5.9325000e+01   2.1270000e+00
   2.1729192e+03   1.1118500e+02   2.3815400e+02   5.9446000e+01   2.1370000e+00
   2.1730715e+03   1.1277100e+02   2.4236200e+02   6.0383000e+01   2.1600000e+00
   2.1732241e+03   1.1324500e+02   2.4482000e+02   6.1569000e+01   2.1800000e+00
   2.1733765e+03   1.1297100e+02   2.4725500e+02   6.6148000e+01   2.1760000e+00
   2.1735288e+03   1.1224900e+02   2.4213200e+02   7.2969000e+01   2.1470000e+00
   2.1736812e+03   1.1125200e+02   2.4066300e+02   7.7163000e+01   2.1210000e+00
   2.1738337e+03   1.1012400e+02   2.3435400e+02   7.4918000e+01   2.1170000e+00
   2.1739861e+03   1.0958500e+02   2.3125900e+02   6.8454000e+01   2.1310000e+00
   2.1741384e+03   1.1051100e+02   2.2880900e+02   6.3651000e+01   2.1570000e+00
   2.1742908e+03   1.1221900e+02   2.2641500e+02   6.4380000e+01   2.1850000e+00
   2.1744431e+03   1.1417600e+02   2.2586000e+02   7.0081000e+01   2.1960000e+00
   2.1745957e+03   1.1535000e+02   2.2463600e+02   7.4627000e+01   2.1770000e+00
   2.1747480e+03   1.1555100e+02   2.2739000e+02   7.2480000e+01   2.1390000e+00
   2.1749004e+03   1.1482300e+02   2.3079700e+02   6.5408000e+01   2.1080000e+00
   2.1750527e+03   1.1468800e+02   2.3516700e+02   5.7829000e+01   2.0970000e+00
   2.1752053e+03   1.1587200e+02   2.3981600e+02   5.4499000e+01   2.1010000e+00
   2.1753577e+03   1.1865300e+02   2.4465200e+02   5.5591000e+01   2.1110000e+00
   2.1755100e+03   1.2037200e+02   2.4617600e+02   5.6100000e+01   2.1200000e+00
   2.1756624e+03   1.1966500e+02   2.4597300e+02   5.5405000e+01   2.1310000e+00
   2.1758149e+03   1.1828300e+02   2.4234200e+02   5.5069000e+01   2.1450000e+00
   2.1759673e+03   1.1730300e+02   2.3676200e+02   5.5365000e+01   2.1570000e+00
   2.1761196e+03   1.1659500e+02   2.3014200e+02   5.7241000e+01   2.1610000e+00
   2.1762720e+03   1.1555800e+02   2.2319200e+02   5.7843000e+01   2.1650000e+00
   2.1764243e+03   1.1400200e+02   2.1819200e+02   5.6910000e+01   2.1700000e+00
   2.1765769e+03   1.1242300e+02   2.1426300e+02   5.7856000e+01   2.1700000e+00
   2.1767292e+03   1.1108300e+02   2.1172800e+02   5.9072000e+01   2.1670000e+00
   2.1768816e+03   1.0979600e+02   2.0950900e+02   5.9161000e+01   2.1620000e+00
   2.1770339e+03   1.0867300e+02   2.0786200e+02   5.8840000e+01   2.1560000e+00
   2.1771865e+03   1.0773800e+02   2.0627700e+02   5.9303000e+01   2.1470000e+00
   2.1773389e+03   1.0720300e+02   2.0570900e+02   6.0025000e+01   2.1330000e+00
   2.1774912e+03   1.0717100e+02   2.0664500e+02   6.0609000e+01   2.1180000e+00
   2.1776436e+03   1.0747900e+02   2.0903900e+02   6.3077000e+01   2.1040000e+00
   2.1777961e+03   1.0814900e+02   2.1250300e+02   6.4971000e+01   2.0940000e+00
   2.1779485e+03   1.0920800e+02   2.1728000e+02   6.6464000e+01   2.0970000e+00
   2.1781008e+03   1.1075700e+02   2.2271400e+02   6.8810000e+01   2.1130000e+00
   2.1782532e+03   1.1238100e+02   2.2719200e+02   6.7064000e+01   2.1220000e+00
   2.1784055e+03   1.1407500e+02   2.3094200e+02   6.3962000e+01   2.1100000e+00
   2.1785581e+03   1.1542700e+02   2.3241900e+02   6.3200000e+01   2.0970000e+00
   2.1787104e+03   1.1633100e+02   2.3382600e+02   6.0911000e+01   2.0920000e+00
   2.1788628e+03   1.1673100e+02   2.3476800e+02   5.6853000e+01   2.0920000e+00
   2.1790151e+03   1.1679800e+02   2.3610000e+02   5.4725000e+01   2.0920000e+00
   2.1791677e+03   1.1666900e+02   2.3578900e+02   5.4526000e+01   2.0940000e+00
   2.1793201e+03   1.1642000e+02   2.3445200e+02   5.2909000e+01   2.0940000e+00
   2.1794724e+03   1.1619400e+02   2.3258200e+02   5.1533000e+01   2.0960000e+00
   2.1796248e+03   1.1586600e+02   2.2972800e+02   5.2572000e+01   2.0970000e+00
   2.1797773e+03   1.1533000e+02   2.2737200e+02   5.4628000e+01   2.0920000e+00
   2.1799297e+03   1.1459500e+02   2.2532600e+02   5.7074000e+01   2.0870000e+00
   2.1800820e+03   1.1429600e+02   2.2422400e+02   5.7296000e+01   2.0880000e+00
   2.1802344e+03   1.1476800e+02   2.2298200e+02   5.6310000e+01   2.0960000e+00
   2.1803867e+03   1.1547000e+02   2.2249600e+02   5.7843000e+01   2.1030000e+00
   2.1805393e+03   1.1610700e+02   2.2264800e+02   5.8557000e+01   2.1030000e+00
   2.1806917e+03   1.1656400e+02   2.2314000e+02   5.6228000e+01   2.0970000e+00
   2.1808440e+03   1.1692300e+02   2.2342300e+02   5.5055000e+01   2.0950000e+00
   2.1809963e+03   1.1715000e+02   2.2410300e+02   5.7208000e+01   2.0970000e+00
   2.1811489e+03   1.1720700e+02   2.2516700e+02   6.0030000e+01   2.1050000e+00
   2.1813013e+03   1.1707000e+02   2.2687500e+02   5.9986000e+01   2.1120000e+00
   2.1814536e+03   1.1670000e+02   2.2801000e+02   5.9540000e+01   2.1130000e+00
   2.1816060e+03   1.1612200e+02   2.2865500e+02   6.1046000e+01   2.1130000e+00
   2.1817585e+03   1.1527000e+02   2.2894300e+02   6.0849000e+01   2.1130000e+00
   2.1819109e+03   1.1405400e+02   2.2856700e+02   5.7750000e+01   2.1150000e+00
   2.1820632e+03   1.1304200e+02   2.2876100e+02   5.4578000e+01   2.1200000e+00
   2.1822156e+03   1.1249500e+02   2.2811400e+02   5.3245000e+01   2.1240000e+00
   2.1823679e+03   1.1245500e+02   2.2796700e+02   5.4523000e+01   2.1220000e+00
   2.1825205e+03   1.1280600e+02   2.2790500e+02   5.7104000e+01   2.1180000e+00
   2.1826729e+03   1.1344500e+02   2.2756800e+02   5.8024000e+01   2.1140000e+00
   2.1828252e+03   1.1442000e+02   2.2826700e+02   6.1461000e+01   2.1140000e+00
   2.1829775e+03   1.1530500e+02   2.2991400e+02   6.7460000e+01   2.1290000e+00
   2.1831301e+03   1.1588400e+02   2.3146800e+02   6.9143000e+01   2.1500000e+00
   2.1832825e+03   1.1626100e+02   2.3277000e+02   6.8756000e+01   2.1540000e+00
   2.1834348e+03   1.1677000e+02   2.3347000e+02   6.6245000e+01   2.1360000e+00
   2.1835872e+03   1.1749400e+02   2.3447500e+02   5.9377000e+01   2.1130000e+00
   2.1837397e+03   1.1829700e+02   2.3555700e+02   5.5244000e+01   2.0990000e+00
   2.1838921e+03   1.1860200e+02   2.3574700e+02   5.5391000e+01   2.0970000e+00
   2.1840444e+03   1.1805900e+02   2.3514600e+02   5.4479000e+01   2.1050000e+00
   2.1841968e+03   1.1704400e+02   2.3417400e+02   5.5074000e+01   2.1130000e+00
   2.1843491e+03   1.1581800e+02   2.3396600e+02   6.0405000e+01   2.1150000e+00
   2.1845017e+03   1.1444000e+02   2.3489100e+02   6.6905000e+01   2.1200000e+00
   2.1846541e+03   1.1405100e+02   2.3791900e+02   7.0744000e+01   2.1250000e+00
   2.1848064e+03   1.1491700e+02   2.4210000e+02   7.3177000e+01   2.1060000e+00
   2.1849587e+03   1.1786600e+02   2.4930100e+02   7.7433000e+01   2.0610000e+00
   2.1851113e+03   1.2012700e+02   2.5889600e+02   8.1457000e+01   2.0330000e+00
   2.1852637e+03   1.2258900e+02   2.6970100e+02   8.3079000e+01   2.0630000e+00
   2.1854160e+03   1.2309300e+02   2.7764300e+02   8.3204000e+01   2.1280000e+00
   2.1855684e+03   1.2154500e+02   2.7815300e+02   7.8925000e+01   2.1740000e+00
   2.1857209e+03   1.1854700e+02   2.7807000e+02   7.2571000e+01   2.1960000e+00
   2.1858733e+03   1.1514900e+02   2.7399900e+02   7.2415000e+01   2.2110000e+00
   2.1860256e+03   1.1220100e+02   2.6759500e+02   7.5417000e+01   2.2140000e+00
   2.1861780e+03   1.0947900e+02   2.5606600e+02   7.5889000e+01   2.2090000e+00
   2.1863303e+03   1.0750300e+02   2.4753000e+02   7.8191000e+01   2.2130000e+00
   2.1864829e+03   1.0710500e+02   2.4116300e+02   8.1829000e+01   2.2240000e+00
   2.1866353e+03   1.0765500e+02   2.3943600e+02   8.0312000e+01   2.2340000e+00
   2.1867876e+03   1.0842900e+02   2.3844500e+02   7.6961000e+01   2.2440000e+00
   2.1869399e+03   1.0905200e+02   2.3855400e+02   7.7671000e+01   2.2430000e+00
   2.1870925e+03   1.0951700e+02   2.3880900e+02   7.6051000e+01   2.2180000e+00
   2.1872449e+03   1.0939700e+02   2.3799900e+02   6.7439000e+01   2.1880000e+00
   2.1873972e+03   1.0880600e+02   2.3573000e+02   6.1017000e+01   2.1720000e+00
   2.1875496e+03   1.0797500e+02   2.3255700e+02   5.9885000e+01   2.1680000e+00
   2.1877021e+03   1.0698500e+02   2.2923800e+02   5.9663000e+01   2.1700000e+00
   2.1878545e+03   1.0577800e+02   2.2578100e+02   5.9524000e+01   2.1750000e+00
   2.1880068e+03   1.0447300e+02   2.2153900e+02   6.0482000e+01   2.1810000e+00
   2.1881592e+03   1.0331700e+02   2.1771100e+02   6.2372000e+01   2.1880000e+00
   2.1883115e+03   1.0234800e+02   2.1564200e+02   6.4543000e+01   2.1920000e+00
   2.1884641e+03   1.0183700e+02   2.1527900e+02   6.5011000e+01   2.1900000e+00
   2.1886165e+03   1.0130300e+02   2.1454800e+02   6.4116000e+01   2.1930000e+00
   2.1887688e+03   1.0097700e+02   2.1312400e+02   6.7932000e+01   2.2190000e+00
   2.1889211e+03   1.0119800e+02   2.1176600e+02   7.7238000e+01   2.2640000e+00
   2.1890737e+03   1.0210000e+02   2.1417200e+02   8.3787000e+01   2.2940000e+00
   2.1892261e+03   1.0305100e+02   2.1427100e+02   8.0755000e+01   2.2800000e+00
   2.1893784e+03   1.0363700e+02   2.1195700e+02   7.1845000e+01   2.2380000e+00
   2.1895308e+03   1.0390400e+02   2.0969200e+02   6.6393000e+01   2.2140000e+00
   2.1896831e+03   1.0391300e+02   2.1229400e+02   6.7607000e+01   2.2170000e+00
   2.1898357e+03   1.0370200e+02   2.1319800e+02   6.9625000e+01   2.2180000e+00
   2.1899880e+03   1.0313900e+02   2.1335700e+02   6.7641000e+01   2.2050000e+00
   2.1901404e+03   1.0218400e+02   2.1155600e+02   6.5498000e+01   2.1900000e+00
   2.1902927e+03   1.0112800e+02   2.0979300e+02   6.5054000e+01   2.1930000e+00
   2.1904453e+03   1.0042800e+02   2.0843200e+02   6.6482000e+01   2.2260000e+00
   2.1905977e+03   1.0033300e+02   2.0822900e+02   7.2874000e+01   2.2780000e+00
   2.1907500e+03   1.0070000e+02   2.0744400e+02   8.0216000e+01   2.3070000e+00
   2.1909023e+03   1.0116200e+02   2.0668000e+02   8.1847000e+01   2.3030000e+00
   2.1910549e+03   1.0146100e+02   2.0636400e+02   8.1233000e+01   2.2980000e+00
   2.1912073e+03   1.0158000e+02   2.0660100e+02   8.3233000e+01   2.3020000e+00
   2.1913596e+03   1.0158400e+02   2.0712300e+02   8.4347000e+01   2.3010000e+00
   2.1915120e+03   1.0139100e+02   2.0768700e+02   8.0967000e+01   2.2830000e+00
   2.1916643e+03   1.0098500e+02   2.0835900e+02   7.1902000e+01   2.2440000e+00
   2.1918169e+03   1.0025000e+02   2.0944900e+02   6.3747000e+01   2.2050000e+00
