DEPTH,FACIES,PHIE,RHO,RHO_FRMB,RHO_FRMG,RHO_FRMO,VP,VP_FRMB,VP_FRMG,VP_FRMO,VS,VSH,VS_FRMB,VS_FRMG,VS_FRMO,WELL,IP,IS,VPVS,PR,IP_FRMB,IS_FRMB,VPVS_FRMB,PR_FRMB,IP_FRMO,IS_FRMO,VPVS_FRMO,PR_FRMO,IP_FRMG,IS_FRMG,VPVS_FRMG,PR_FRMG
2051.2004,SST,0.2229953765273576,2.3160240000000085,2.3160240000000085,2.3160240000000085,2.3160240000000085,2336.3,2336.3,2336.3,2336.3,992.6,0.1117817301441617,992.6,992.6,992.6,qsiwell2_frm,5410.92687120002,2298.8854224000083,2.3537175095708243,0.38986750458037744,5410.92687120002,2298.8854224000083,2.3537175095708243,0.38986750458037744,5410.92687120002,2298.8854224000083,2.3537175095708243,0.38986750458037744,5410.92687120002,2298.8854224000083,2.3537175095708243,0.38986750458037744
2132.2771,SH,0.2930522526018878,2.2472290000000013,,,,2314.3,,,,850.8,0.4808569149835326,,,,qsiwell2_frm,5200.762074700004,1911.942433200001,2.7201457451810063,0.4218651461575234,,,,,,,,,,,,
2132.1248,SH,0.2941104980550814,2.244992000000007,,,,2311.7000000000007,,,,880.6,0.4763880963104734,,,,qsiwell2_frm,5189.748006400017,1976.9399552000061,2.625141948671361,0.4151301006853556,,,,,,,,,,,,
2131.9724,SH,0.2967848805795936,2.241448000000002,,,,2317.3,,,,858.7,0.4837816711498558,,,,qsiwell2_frm,5194.107450400004,1924.7313976000016,2.6986141842319786,0.4204140825404161,,,,,,,,,,,,
2131.8201,SH,0.2992264576241982,2.2392009999999973,,,,2302.5,,,,858.7,0.499397010123196,,,,qsiwell2_frm,5155.7603024999935,1922.8018986999978,2.681378828461628,0.419221846883699,,,,,,,,,,,,
2131.6675,SH,0.3024340515955465,2.2350250000000007,,,,2286.9,,,,873.9,0.5091106494932729,,,,qsiwell2_frm,5111.278672500001,1953.1883475000006,2.616889804325438,0.4145023250583985,,,,,,,,,,,,
2131.5151,SH,0.2933121035054482,2.249130999999983,,,,2283.1,,,,834.3000000000003,0.5014402552184435,,,,qsiwell2_frm,5134.9909860999605,1876.4499932999863,2.736545607095768,0.4229427469538551,,,,,,,,,,,,
2131.3628,SH,0.2901108193869497,2.252,,,,2257.2000000000007,,,,870.9,0.4804700484774364,,,,qsiwell2_frm,5083.214400000001,1961.2667999999996,2.5918015845676896,0.4125482038156604,,,,,,,,,,,,
2131.2104,SH,0.2896610966071212,2.2511040000000007,,,,2336.2,,,,871.0,0.4661094730106724,,,,qsiwell2_frm,5259.029164800001,1960.7115840000006,2.6822043628013774,0.4192795896306747,,,,,,,,,,,,
2132.4297,SH,0.2977839488708665,2.2462970000000007,,,,2325.5,,,,866.6,0.5414996579464761,,,,qsiwell2_frm,5223.7636735000015,1946.6409802000005,2.683475651973229,0.41936838449248476,,,,,,,,,,,,
2131.0581,SH,0.2926254408554759,2.2481620000000047,,,,2335.7000000000007,,,,871.0,0.4829273882199717,,,,qsiwell2_frm,5251.031983400013,1958.149102000004,2.68163030998852,0.4192394438515902,,,,,,,,,,,,
2130.7532,SH,0.2916577501935321,2.2524679999999977,,,,2315.0,,,,859.9,0.5069414742450147,,,,qsiwell2_frm,5214.463419999995,1936.897233199998,2.692173508547506,0.41997180702955517,,,,,,,,,,,,
2130.6008,SH,0.2941248345487473,2.2450640000000206,,,,2330.9,,,,839.0,0.4772333031932937,,,,qsiwell2_frm,5233.019677600048,1883.6086960000173,2.7781883194278905,0.42557674677641,,,,,,,,,,,,
2130.4485,SH,0.2969931549866965,2.2419699999999985,,,,2339.9,,,,822.8,0.4914543344364512,,,,qsiwell2_frm,5245.985602999996,1844.6929159999986,2.8438259601361207,0.4294517307971531,,,,,,,,,,,,
2130.2959,SH,0.2905698735460485,2.250082000000002,,,,2306.4,,,,839.3000000000003,0.4701925596835183,,,,qsiwell2_frm,5189.589124800005,1888.4938226000024,2.748004289288692,0.42368192084115486,,,,,,,,,,,,
2130.1436,SH,0.290038087124207,2.253128000000002,,,,2289.1,,,,838.0999999999997,0.4893520950352888,,,,qsiwell2_frm,5157.635304800005,1888.346576800001,2.731296981267153,0.42260041790675856,,,,,,,,,,,,
2129.9912,SH,0.2870899913059018,2.2578080000000025,,,,2325.9,,,,838.9,0.4880383372227976,,,,qsiwell2_frm,5251.435627200006,1894.075131200002,2.7725593038502803,0.42522900590931995,,,,,,,,,,,,
2129.8389,SH,0.2873137301402175,2.259167000000001,,,,2345.8,,,,890.7,0.5031703766899883,,,,qsiwell2_frm,5299.5539486000025,2012.240046900001,2.6336589199506006,0.41577045456965644,,,,,,,,,,,,
2129.6863,SH,0.2844547184489454,2.263685000000009,,,,2375.100000000001,,,,870.1,0.5016660218891564,,,,qsiwell2_frm,5376.478243500023,1969.6323185000078,2.72968624296058,0.422494883319622,,,,,,,,,,,,
2130.9055,SH,0.2913991307601723,2.2507800000000096,,,,2332.6,,,,871.0,0.4883094841288299,,,,qsiwell2_frm,5250.169428000022,1960.4293800000082,2.6780711825487944,0.41898983905148307,,,,,,,,,,,,
2132.582000000001,SH,0.2953215357368151,2.248229999999999,,,,2335.6,,,,932.3,0.5226816088654828,,,,qsiwell2_frm,5250.965987999997,2096.024828999999,2.505202188136866,0.40523191840668055,,,,,,,,,,,,
