DEPTH,VP,VS,GR,NPHI,RHO,SWE,SWX,VPVS,IP,IS,VSH,RHOm,RHOfluid,PHIE,LFC,VP_FRMB,VS_FRMB,RHO_FRMB,IP_FRMB,IS_FRMB,VPVS_FRMB,VP_FRMO,VS_FRMO,RHO_FRMO,IP_FRMO,IS_FRMO,VPVS_FRMO,VP_FRMG,VS_FRMG,RHO_FRMG,IP_FRMG,IS_FRMG,VPVS_FRMG,LFC_B,LFC_O,LFC_G
2100.1208,2379.6,948.0,91.5983,0.4117,2.2564160000000046,1.0,0.8816797900262464,2.5101265822784806,5369.367513600012,2139.082368000005,0.4904423551888328,2.728470776830213,1.09,0.28810692476520433,4.0,2379.6,948.0,2.2564160000000046,5369.367513600011,2139.0823680000044,2.510126582278481,2379.6,948.0,2.2564160000000046,5369.367513600011,2139.0823680000044,2.510126582278481,2379.6,948.0,2.2564160000000046,5369.367513600011,2139.0823680000044,2.510126582278481,4.0,4.0,4.0
2100.2732,2386.1,942.7,94.3741,0.4241,2.2594640000000035,1.0,0.886767564018398,2.5311339768749344,5391.307050400008,2129.996712800003,0.5219339694885987,2.733509435118176,1.09,0.2884348729547065,4.0,2386.1,942.7,2.2594640000000035,5391.307050400008,2129.9967128000035,2.5311339768749335,2386.1,942.7,2.2594640000000035,5391.307050400008,2129.9967128000035,2.5311339768749335,2386.1,942.7,2.2594640000000035,5391.307050400008,2129.9967128000035,2.5311339768749335,4.0,4.0,4.0
2100.4255,2386.0,944.2,94.2315,0.4307,2.265314999999969,1.0,0.906035386631705,2.527006990044482,5405.041589999926,2138.9104229999707,0.5203161640994689,2.733250586255916,1.09,0.2847621599345475,4.0,2386.0,944.2,2.265314999999969,5405.041589999926,2138.9104229999707,2.527006990044482,2386.0,944.2,2.265314999999969,5405.041589999926,2138.9104229999707,2.527006990044482,2386.0,944.2,2.265314999999969,5405.041589999926,2138.9104229999707,2.527006990044482,4.0,4.0,4.0
2100.5779,2394.3,989.2,92.6377,0.4179,2.278895000000015,1.0,0.9385508864084628,2.420440760210271,5456.358298500035,2254.282934000015,0.5022344093365295,2.7303575054938447,1.09,0.2752220195791483,4.0,2394.3,989.2,2.278895000000015,5456.358298500037,2254.282934000015,2.420440760210271,2394.3,989.2,2.278895000000015,5456.358298500037,2254.282934000015,2.420440760210271,2394.3,989.2,2.278895000000015,5456.358298500037,2254.282934000015,2.420440760210271,4.0,4.0,4.0
2100.7305,2372.0,984.0,92.4617,0.4056,2.286220000000008,1.0,0.983700787401614,2.4105691056910565,5422.913840000017,2249.6404800000078,0.5002376789824843,2.7300380286371984,1.09,0.27061447410825235,4.0,2372.0,984.0,2.286220000000008,5422.913840000019,2249.640480000008,2.410569105691057,2372.0,984.0,2.286220000000008,5422.913840000019,2249.640480000008,2.410569105691057,2372.0,984.0,2.286220000000008,5422.913840000019,2249.640480000008,2.410569105691057,4.0,4.0,4.0
2100.8828,2362.2000000000007,984.0,92.6755,0.4138,2.2861020000000085,1.0,1.0,2.400609756097561,5400.23014440002,2249.5243680000085,0.5026632525602961,2.730426120409647,1.09,0.270858964558966,4.0,2362.2000000000007,984.0,2.2861020000000085,5400.230144400021,2249.5243680000085,2.4006097560975617,2362.2000000000007,984.0,2.2861020000000085,5400.230144400021,2249.5243680000085,2.4006097560975617,2362.2000000000007,984.0,2.2861020000000085,5400.230144400021,2249.5243680000085,2.4006097560975617,4.0,4.0,4.0
2101.0352,2360.0,981.0,96.884,0.4162,2.2763680000000264,1.0,0.99134796854525,2.4057084607543318,5372.2284800000625,2233.117008000026,0.5504089326455203,2.738065429223284,1.09,0.2801450846771601,4.0,2360.0,981.0,2.2763680000000264,5372.2284800000625,2233.117008000026,2.405708460754332,2360.0,981.0,2.2763680000000264,5372.2284800000625,2233.117008000026,2.405708460754332,2360.0,981.0,2.2763680000000264,5372.2284800000625,2233.117008000026,2.405708460754332,4.0,4.0,4.0
2101.1875,2371.8,974.4,96.7039,0.4293,2.263375000000001,1.0,0.9809724409448978,2.4341133004926103,5368.272825000001,2205.432600000001,0.5483656875502728,2.737738510008044,1.09,0.28788761513240785,4.0,2371.8,974.4,2.263375000000001,5368.272825000003,2205.4326000000005,2.434113300492611,2371.8,974.4,2.263375000000001,5368.272825000003,2205.4326000000005,2.434113300492611,2371.8,974.4,2.263375000000001,5368.272825000003,2205.4326000000005,2.434113300492611,4.0,4.0,4.0
2101.3401,2379.6,977.9,99.7031,0.4224,2.2579950000000126,1.0,0.9986408404464868,2.433377645976071,5373.12490200003,2208.0933105000117,0.5823917879926167,2.7431826860788187,1.09,0.2934870357429293,4.0,2379.6,977.9,2.2579950000000126,5373.12490200003,2208.093310500012,2.433377645976071,2379.6,977.9,2.2579950000000126,5373.12490200003,2208.093310500012,2.433377645976071,2379.6,977.9,2.2579950000000126,5373.12490200003,2208.093310500012,2.433377645976071,4.0,4.0,4.0
2101.4924,2388.2,1008.4,96.436,0.4463,2.255,1.0,0.9756480630334308,2.3683062276874254,5385.391,2273.942,0.5453263462897687,2.7372522154063628,1.09,0.2927616128823329,4.0,2388.2,1008.4,2.255,5385.391,2273.942,2.3683062276874254,2388.2,1008.4,2.255,5385.391,2273.942,2.3683062276874254,2388.2,1008.4,2.255,5385.391,2273.942,2.3683062276874254,4.0,4.0,4.0
2101.6448,2413.3,1008.4,94.0508,0.4262,2.2541039999999968,1.0,0.9143866317168836,2.39319714399048,5439.829183199992,2273.038473599997,0.5182661119689236,2.732922577915028,1.09,0.2914431783649123,4.0,2413.3,1008.4,2.2541039999999968,5439.829183199992,2273.038473599997,2.3931971439904802,2413.3,1008.4,2.2541039999999968,5439.829183199992,2273.038473599997,2.3931971439904802,2413.3,1008.4,2.2541039999999968,5439.829183199992,2273.038473599997,2.3931971439904802,4.0,4.0,4.0
2101.7971,2433.5,1015.3,90.4815,0.3969,2.2578549999999917,1.0,0.9013346456692374,2.396828523589087,5494.490142499979,2292.4001814999915,0.4777721934877093,2.7264435509580336,1.09,0.2863456858525389,4.0,2433.5,1015.3,2.2578549999999917,5494.49014249998,2292.4001814999915,2.396828523589087,2433.5,1015.3,2.2578549999999917,5494.49014249998,2292.4001814999915,2.396828523589087,2433.5,1015.3,2.2578549999999917,5494.49014249998,2292.4001814999915,2.396828523589087,4.0,4.0,4.0
2101.9497,2430.5,994.5,89.3341,0.3771,2.2642425000000017,1.0,0.924690085357864,2.443941679235797,5503.241396250004,2251.789166250002,0.464754872986394,2.724360779677822,1.09,0.28152797436103605,4.0,2430.5,994.5,2.2642425000000017,5503.241396250004,2251.789166250002,2.443941679235797,2430.5,994.5,2.2642425000000017,5503.241396250004,2251.789166250002,2.443941679235797,2430.5,994.5,2.2642425000000017,5503.241396250004,2251.789166250002,2.443941679235797,4.0,4.0,4.0
2102.1021,2416.3,987.3,88.8499,0.391,2.2682520000000186,1.0,0.9544763779528244,2.4473817482021683,5480.777307600045,2239.4451996000184,0.4592615955010035,2.7234818552801605,1.09,0.27868681479909363,4.0,2416.3,987.3,2.2682520000000186,5480.777307600045,2239.4451996000184,2.447381748202168,2416.3,987.3,2.2682520000000186,5480.777307600045,2239.4451996000184,2.447381748202168,2416.3,987.3,2.2682520000000186,5480.777307600045,2239.4451996000184,2.447381748202168,4.0,4.0,4.0
2102.2544,2400.4,1009.1,86.8039,0.4082,2.2827199999999954,1.0,0.9884471437951372,2.3787533445644637,5479.44108799999,2303.492751999996,0.4360496051352274,2.7197679368216363,1.09,0.2681657473725794,4.0,2400.4,1009.1,2.2827199999999954,5479.44108799999,2303.4927519999956,2.3787533445644633,2400.4,1009.1,2.2827199999999954,5479.44108799999,2303.4927519999956,2.3787533445644633,2400.4,1009.1,2.2827199999999954,5479.44108799999,2303.4927519999956,2.3787533445644633,4.0,4.0,4.0
