DEPTH,VP,RHO,GR,IP,VSH,RHOm,RHOf,PHIE
2001.51794,2228.07,2.2754,97.8013,5069.750478,0.34105508116,2.70456881299,1.09,0.265810171443
2001.67041,2191.23,2.3607,101.0224,5172.836661,0.36921371574,2.70907419452,1.09,0.215168764778
2001.82275,2192.81,2.4068,98.5658,5277.655108,0.347738287561,2.70563812601,1.09,0.18496600272
2001.97522,2183.38,2.3197,97.211,5064.786586,0.335894719174,2.70374315507,1.09,0.237982825124
2002.12756,2191.23,2.2109,96.4521,4844.590407,0.329260467588,2.70268167481,1.09,0.304946526332
2002.28003,2218.34,2.1595,96.3343,4790.50523,0.328230668093,2.70251690689,1.09,0.336751140142
2002.43237,2252.77,2.1212,95.8995,4778.575724,0.324429676409,2.70190874823,1.09,0.360261552563
2002.58484,2272.93,2.1144,94.9817,4805.883192,0.316406331956,2.70062501311,1.09,0.363973617906
2002.73718,2302.11,2.0868,96.5289,4804.043148,0.329931847904,2.70278909566,1.09,0.381940265668
2002.88965,2330.28,2.1187,96.2584,4937.164236,0.327567155515,2.70241074488,1.09,0.362011197665
2003.04199,2307.34,2.1265,98.4109,4906.55851,0.346384162418,2.70542146599,1.09,0.358371779858
2003.19446,2283.15,2.1316,95.1161,4866.76254,0.317581247509,2.7008129996,1.09,0.353370006166
2003.3468,2237.89,2.124,93.5416,4753.27836,0.303817076838,2.69861073229,1.09,0.357209311587
2003.49915,2251.11,2.1227,91.6262,4778.431197,0.287072781822,2.69593164509,1.09,0.356946478291
2003.65161,2234.6,2.0931,90.2767,4677.24126,0.275275545671,2.69404408731,1.09,0.374643123629
2003.80396,2266.17,2.052,94.2571,4650.18084,0.31007192861,2.69961150858,1.09,0.402340257339
2003.95642,2288.29,2.0371,95.4351,4661.475559,0.320369923561,2.70125918777,1.09,0.412198852184
2004.10876,2314.35,2.0868,95.5995,4829.58558,0.321807097049,2.70148913553,1.09,0.381441687676
2004.26123,2281.44,2.1347,93.3364,4870.189968,0.302023232556,2.69832371721,1.09,0.350441712187
2004.41357,2286.57,2.1446,93.3294,4903.778022,0.301962039038,2.69831392625,1.09,0.344282243168
2004.56604,2328.5,2.1107,94.3611,4914.76495,0.310981089454,2.69975697431,1.09,0.365929133225
2004.71838,2386.84,2.0945,93.0112,4999.23638,0.299180356531,2.69786885704,1.09,0.375259993625
2004.87085,2396.23,2.094,96.0428,5017.70562,0.325682395149,2.70210918322,1.09,0.377213398169
2005.02319,2392.46,2.11,95.4852,5048.0906,0.320807894314,2.70132926309,1.09,0.366982265286
2005.17566,2396.23,2.1325,92.7145,5109.960475,0.296586625545,2.69745386009,1.09,0.351458834443
2005.328,2359.13,2.1852,91.8184,5155.170876,0.288752980999,2.69620047696,1.09,0.318142401456
2005.48035,2394.34,2.2087,98.7993,5288.378758,0.349779528495,2.70596472456,1.09,0.307720036831
2005.63281,2341.01,2.1787,97.7953,5100.358487,0.341002629573,2.70456042073,1.09,0.325698818068
2005.78516,2339.22,2.1346,97.702,4993.299012,0.340187007392,2.70442992118,1.09,0.352960456014
2005.93762,2319.63,2.1194,98.6805,4916.223822,0.348740987069,2.70579855793,1.09,0.362915633915
2006.08997,2339.22,2.1009,97.3127,4914.467298,0.336783773577,2.70388540377,1.09,0.373623432223
2006.24243,2350.04,2.1195,97.157,4980.90978,0.33542265489,2.70366762478,1.09,0.362012359801
2006.39478,2316.11,2.1299,97.9195,4933.082689,0.342088377428,2.70473414039,1.09,0.355993055458
2006.54724,2323.17,2.1341,95.3779,4957.877097,0.319869885096,2.70117918162,1.09,0.351965310926
2006.69958,2310.84,2.1076,96.4627,4870.326384,0.329353132059,2.70269650113,1.09,0.369007126085
2006.85205,2293.45,2.1015,97.9007,4819.685175,0.341924029121,2.70470784466,1.09,0.373570888786
2007.00439,2269.55,2.0955,96.957,4755.842025,0.33367426865,2.70338788298,1.09,0.376777270609
2007.15686,2296.91,2.1184,96.7932,4865.774144,0.33224234032,2.70315877445,1.09,0.36249300671
2007.3092,2341.01,2.1285,93.7957,4982.839785,0.306038401555,2.69896614425,1.09,0.354554473559
2007.46155,2370.14,2.1575,91.7341,5113.57705,0.288016036199,2.69608256579,1.09,0.335339276612
2007.61401,2415.21,2.1632,89.6095,5224.582272,0.269442929176,2.69311086867,1.09,0.330551603776
2007.76636,2366.46,2.1717,93.6111,5139.241182,0.304424641056,2.69870794257,1.09,0.327597029034
2007.91882,2342.81,2.1501,94.2212,5037.275781,0.30975809328,2.69956129492,1.09,0.341373327414
2008.07117,2353.67,2.1324,97.0149,5018.965908,0.334180426466,2.70346886823,1.09,0.353938572648
2008.22363,2413.3,2.1226,98.8029,5122.47058,0.349810999448,2.70596975991,1.09,0.36100289398
2008.37598,2283.15,2.1557,97.5436,4921.786455,0.33880228549,2.70420836568,1.09,0.339800224891
2008.52844,2210.3,2.2073,99.984,4878.79519,0.360136094385,2.7076217751,1.09,0.309294658864
2008.68079,2216.73,2.1909,102.0207,4856.633757,0.377940785655,2.7104705257,1.09,0.320629420568
2008.83325,2291.73,2.175,105.9858,4984.51275,0.412603417046,2.71601654673,1.09,0.332725117599
2008.9856,2377.54,2.1661,105.9038,5149.989394,0.411886578688,2.71590185259,1.09,0.338151931935
2009.13794,2476.04,2.1575,102.7001,5342.0563,0.38388005371,2.71142080859,1.09,0.341626803886
2009.29041,2458.06,2.133,100.2997,5243.04198,0.362895922064,2.70806334753,1.09,0.355402245782
2009.44275,2442.31,2.1007,101.8179,5130.560617,0.376167922008,2.71018686752,1.09,0.376183068595
2009.59521,2458.06,2.1152,103.0622,5199.288512,0.387045506997,2.71192728112,1.09,0.367912475526
2009.74756,2444.27,2.1383,101.842,5226.582541,0.37637860255,2.71022057641,1.09,0.352989330426
2009.90002,2401.89,2.1458,99.0264,5153.975562,0.35176482107,2.70628237137,1.09,0.346772557382
2010.05237,2444.27,2.1177,101.3939,5176.230579,0.37246134318,2.70959381491,1.09,0.365458184305
2010.20483,2492.23,2.101,104.0154,5236.17523,0.395378315815,2.71326053053,1.09,0.377179460114
2010.35718,2464.03,2.0864,105.8209,5140.952192,0.411161872592,2.71578589961,1.09,0.387127173242
2010.50964,2417.13,2.1031,103.9464,5083.466103,0.394775122562,2.71316401961,1.09,0.375848658693
2010.66199,2346.42,2.1213,103.4314,4977.460746,0.390273027995,2.71244368448,1.09,0.364353900314
2010.81445,2353.67,2.1232,105.5107,4997.312144,0.408450125534,2.71535202009,1.09,0.364322320807
2010.9668,2348.23,2.133,105.3284,5008.77459,0.406856471477,2.71509703544,1.09,0.35819217114
2011.11914,2379.39,2.1449,105.6853,5103.553611,0.409976466721,2.71559623468,1.09,0.351068870918
2011.27161,2371.98,2.1524,105.3922,5105.449752,0.407414206687,2.71518627307,1.09,0.346290319083
2011.42395,2332.06,2.1175,104.1858,4938.13705,0.396867940891,2.71349887054,1.09,0.367107659486
2011.57642,2316.11,2.0802,103.061,4817.972022,0.38703501668,2.71192560267,1.09,0.389491109598
2011.72876,2291.73,2.0829,106.86,4773.444417,0.420245613299,2.71723929813,1.09,0.389825453981
2011.88123,2312.59,2.1269,103.2154,4918.647671,0.388384770856,2.71214156334,1.09,0.360783285852
2012.03357,2346.42,2.1351,101.557,5009.841342,0.373887152159,2.70982194435,1.09,0.354805629317
2012.18604,2375.68,2.1636,102.0685,5140.021248,0.378358649966,2.71053738399,1.09,0.337503712902
2012.33838,2324.94,2.1629,105.2961,5028.612726,0.406574107099,2.71505185714,1.09,0.339774915312
2012.49084,2355.49,2.1408,104.0118,5042.632992,0.395346844862,2.71325549518,1.09,0.352658898663
2012.64319,2333.84,2.0923,102.4027,4883.093432,0.381280203372,2.71100483254,1.09,0.381679819899
2012.79565,2296.91,2.0834,101.8768,4785.382294,0.376682821756,2.71026925148,1.09,0.386892024833
2012.948,2293.45,2.1045,100.1849,4826.565525,0.361892348362,2.70790277574,1.09,0.372953668655
2013.10034,2249.45,2.1245,101.5231,4778.956525,0.373590800691,2.70977452811,1.09,0.361330863002
2013.25281,2251.11,2.1299,97.3762,4794.639189,0.337338886208,2.70397422179,1.09,0.355689833234
2013.40515,2211.9,2.1501,98.8649,4755.80619,0.350352999182,2.70605647987,1.09,0.344020451509
2013.55762,2256.11,2.1416,101.3806,4831.685176,0.372345075495,2.70957521208,1.09,0.350693939894
2013.70996,2269.55,2.1278,98.8257,4829.14849,0.350010315479,2.70600165048,1.09,0.357797685606
2013.86243,2290.01,2.1094,97.8535,4830.547094,0.341511409969,2.70464182559,1.09,0.368652549537
2014.01477,2284.86,2.1213,103.8481,4846.873518,0.393915790725,2.71302652652,1.09,0.364582166002
2014.16724,2290.01,2.128,105.2594,4873.14128,0.406253278224,2.71500052452,1.09,0.361230975412
2014.31958,2291.73,2.1382,104.0484,4900.177086,0.395666799544,2.71330668793,1.09,0.354280982272
2014.47205,2279.73,2.1645,104.1951,4934.475585,0.396949240851,2.71351187854,1.09,0.338163142379
2014.62439,2291.73,2.1731,103.9991,4980.158463,0.395235822336,2.71323773157,1.09,0.332753312141
2014.77686,2310.84,2.1801,106.5011,5037.862284,0.417108134192,2.71673730147,1.09,0.329885655776
2014.9292,2335.63,2.1479,108.2104,5016.699677,0.432050717188,2.71912811475,1.09,0.35063425005
2015.08154,2328.5,2.1368,109.7,4975.5388,0.4450726979,2.72121163166,1.09,0.358268430852
2015.23401,2339.22,2.1299,109.1339,4982.304678,0.440123890649,2.7204198225,1.09,0.36218881441
2015.38635,2348.23,2.1288,104.7331,4998.912024,0.401652399835,2.71426438397,1.09,0.360448945227
2015.53882,2351.85,2.1322,105.3123,5014.61457,0.406715726385,2.71507451622,1.09,0.358675562507
2015.69116,2341.01,2.1373,103.49,5003.440673,0.390785305163,2.71252564883,1.09,0.354524841713
2015.84363,2353.67,2.1361,106.0844,5027.674487,0.413465371462,2.71615445943,1.09,0.356703175439
2015.99597,2341.01,2.1289,106.1087,4983.776189,0.41367780039,2.71618844806,1.09,0.361144151997
2016.14844,2337.42,2.1297,106.4925,4978.003374,0.417032953584,2.71672527257,1.09,0.360863190897
2016.30078,2396.23,2.1464,106.7253,5143.268072,0.419068075167,2.71705089203,1.09,0.350727131415
2016.45325,2411.39,2.1818,105.7886,5261.170702,0.410879508214,2.71574072131,1.09,0.328429198035
2016.60559,2381.25,2.1767,103.4609,5183.266875,0.390530914965,2.71248494639,1.09,0.330224910613
2016.75806,2332.06,2.1503,106.0609,5014.628618,0.413259936079,2.71612158977,1.09,0.347957737805
2016.9104,2388.71,2.1264,109.8912,5079.352944,0.446744155145,2.72147906482,1.09,0.364748207718
2017.06274,2400.0,2.1209,107.0937,5090.16,0.42228860262,2.71756617642,1.09,0.366600255685
2017.21521,2388.71,2.1186,107.0192,5060.721006,0.421637328746,2.7174619726,1.09,0.367972943566
2017.36755,2430.62,2.0996,108.9055,5103.329752,0.438127233563,2.72010035737,1.09,0.380651629554
2017.52002,2362.79,2.0836,107.4803,4923.109244,0.425668233221,2.71810691732,1.09,0.389720669182
2017.67236,2377.54,2.0615,104.1278,4901.29871,0.396360908881,2.71341774542,1.09,0.401571158908
2017.82483,2381.25,2.0778,103.9922,4947.76125,0.395175503011,2.71322808048,1.09,0.391459517071
2017.97717,2384.98,2.0755,107.3541,4950.02599,0.424565001504,2.71793040024,1.09,0.394630139068
2018.12964,2350.04,2.1033,109.8669,4942.839132,0.446531726217,2.72144507619,1.09,0.378894199513
2018.28198,2390.59,2.1121,109.8794,5049.165139,0.446641000357,2.72146256006,1.09,0.373506922547
2018.43445,2359.13,2.1131,105.8555,4985.077603,0.411464343411,2.71583429495,1.09,0.370723078495
2018.58679,2362.79,2.1187,106.9071,5006.043173,0.420657358258,2.71730517732,1.09,0.367850594752
2018.73926,2360.96,2.1292,108.6227,5026.956032,0.435655015421,2.71970480247,1.09,0.36233850546
2018.8916,2321.4,2.144,105.4364,4977.0816,0.407800600046,2.71524809601,1.09,0.351483627276
2019.04395,2337.42,2.1639,108.8786,5057.943138,0.437892075614,2.7200627321,1.09,0.341190999062
2019.19641,2302.11,2.1761,105.8271,5009.621571,0.411216072565,2.71579457161,1.09,0.331957420104
2019.34875,2276.33,2.1816,102.2121,4966.041528,0.379613991286,2.71073823861,1.09,0.326479764592
2019.50122,2324.94,2.1791,103.5699,5066.276754,0.391483785466,2.71263740567,1.09,0.328808767633
2019.65356,2323.17,2.1758,102.0087,5054.753286,0.37783588248,2.7104537412,1.09,0.329940761408
2019.80603,2326.72,2.23,104.197,5188.5856,0.39696585052,2.71351453608,1.09,0.297819653189
2019.95837,2302.11,2.3055,104.8545,5307.514605,0.402713670282,2.71443418725,1.09,0.251739461319
2020.11084,2353.67,2.3342,104.7069,5493.936514,0.401423361238,2.7142277378,1.09,0.233974416859
2020.26318,2350.04,2.2657,105.2109,5324.485628,0.405829294561,2.71493268713,1.09,0.276462336371
2020.41565,2392.46,2.2085,105.1175,5283.74791,0.405012798187,2.71480204771,1.09,0.311608450041
2020.56799,2386.84,2.1997,107.6005,5250.331948,0.426719013351,2.71827504214,1.09,0.318481232419
2020.72046,2321.4,2.192,108.2816,5088.5088,0.432673142689,2.71922770283,1.09,0.32360590353
2020.8728,2328.5,2.2045,108.0709,5133.17825,0.430831217786,2.71893299485,1.09,0.3158097948
2021.02515,2321.4,2.2009,107.3131,5109.16926,0.424206582325,2.71787305317,1.09,0.317575779121
2021.17761,2202.31,2.2061,110.184,4858.516091,0.449303792599,2.72188860682,1.09,0.316068513906
2021.32996,2224.82,2.1914,102.8372,4875.470548,0.385078572478,2.7116125716,1.09,0.320799542818
2021.48242,2307.34,2.1973,110.1071,5069.918182,0.44863153809,2.72178104609,1.09,0.321416312164
2021.63477,2302.11,2.1955,111.8804,5054.282505,0.464133604683,2.72426137675,1.09,0.323547618681
2021.78723,2323.17,2.1919,112.6543,5092.156323,0.470898985237,2.72534383764,1.09,0.326196745516
2021.93958,2303.85,2.1691,110.2105,4997.281035,0.449535453776,2.7219256726,1.09,0.338756649206
2022.09204,2211.9,2.1623,110.6552,4782.79137,0.45342299058,2.72254767849,1.09,0.343173853893
2022.24438,2146.48,2.1506,113.0232,4616.219888,0.474123883655,2.72585982138,1.09,0.351655938892
2022.39685,2407.58,2.1484,106.6418,5172.444872,0.418338123912,2.71693409983,1.09,0.349451216178
2022.54919,2379.39,2.1392,104.0196,5089.991088,0.395415031926,2.71326640511,1.09,0.353648916346
2022.70166,2333.84,2.1491,101.8545,5015.655544,0.37648787669,2.71023806027,1.09,0.346330625128
2022.854,2368.3,2.1557,105.4686,5105.34431,0.408082090231,2.71529313444,1.09,0.344302896862
2023.00635,2170.94,2.1527,105.3493,4673.382538,0.407039177839,2.71512626845,1.09,0.346081581088
2023.15881,2186.51,2.1643,107.7298,4732.263593,0.427849345055,2.71845589521,1.09,0.340295304797
2023.31116,2370.14,2.1762,107.6945,5157.898668,0.427540754883,2.71840652078,1.09,0.332967544567
2023.46362,2401.89,2.2015,108.2018,5287.760835,0.43197553658,2.71911608585,1.09,0.317728178089
2023.61597,2342.81,2.2154,108.4061,5190.261274,0.433761513123,2.7194018421,1.09,0.309317093597
2023.76843,2337.42,2.1973,108.5393,5136.012966,0.434925938359,2.71958815014,1.09,0.320503159092
2023.92078,2314.35,2.207,106.0279,5107.77045,0.412971452349,2.71607543238,1.09,0.313069998009
2024.07324,2312.59,2.2295,109.7394,5155.919405,0.445417129989,2.7212667408,1.09,0.301463107473
2024.22559,2305.6,2.151,108.4914,4959.3456,0.434507199855,2.71952115198,1.09,0.348888476401
2024.37805,2328.5,2.0592,102.0207,4794.8472,0.377940785655,2.7104705257,1.09,0.401902111377
2024.5304,2335.63,2.016,99.1251,4708.63008,0.352627649679,2.70642042395,1.09,0.427129237988
